key,hex,energy,best_pattern_key,max_removal,num_inputs,num_nodes,num_outputs,sim_hex,tt_hex
13,0x000D,7,,0,4,12,1,0x000D,0x000D
569,0x0239,12,implicit_OR_1,2,4,19,1,0x0239,0x0239
772,0x0304,9,,0,4,14,1,0x0304,0x0304
1035,0x040B,10,,0,4,15,1,0x040B,0x040B
1397,0x0575,5,,0,4,10,1,0x0575,0x0575
1402,0x057A,12,,0,4,17,1,0x057A,0x057A
1603,0x0643,17,implicit_OR_0,2,4,24,1,0x0643,0x0643
1888,0x0760,11,,0,4,16,1,0x0760,0x0760
2479,0x09AF,12,implicit_OR_0,2,4,19,1,0x09AF,0x09AF
3906,0x0F42,13,implicit_OR_0,2,4,20,1,0x0F42,0x0F42
4152,0x1038,8,,0,4,13,1,0x1038,0x1038
4168,0x1048,14,,0,4,19,1,0x1048,0x1048
4297,0x10C9,18,implicit_OR_0,2,4,25,1,0x10C9,0x10C9
4740,0x1284,14,implicit_OR_0,2,4,21,1,0x1284,0x1284
4899,0x1323,9,,0,4,14,1,0x1323,0x1323
5070,0x13CE,9,implicit_OR_0,2,4,16,1,0x13CE,0x13CE
5908,0x1714,10,implicit_OR_0,2,4,17,1,0x1714,0x1714
6232,0x1858,13,,0,4,18,1,0x1858,0x1858
6752,0x1A60,11,implicit_OR_1,2,4,18,1,0x1A60,0x1A60
6854,0x1AC6,23,implicit_OR_0,2,4,30,1,0x1AC6,0x1AC6
7359,0x1CBF,13,implicit_OR_1,2,4,20,1,0x1CBF,0x1CBF
7573,0x1D95,8,,0,4,13,1,0x1D95,0x1D95
8158,0x1FDE,14,implicit_OR_1,2,4,21,1,0x1FDE,0x1FDE
8811,0x226B,17,implicit_OR_0,2,4,24,1,0x226B,0x226B
8902,0x22C6,11,,0,4,16,1,0x22C6,0x22C6
9127,0x23A7,8,,0,4,13,1,0x23A7,0x23A7
9231,0x240F,11,implicit_OR_0,2,4,18,1,0x240F,0x240F
10808,0x2A38,9,implicit_OR_0,2,4,16,1,0x2A38,0x2A38
10838,0x2A56,16,,0,4,21,1,0x2A56,0x2A56
12231,0x2FC7,16,,0,4,21,1,0x2FC7,0x2FC7
12384,0x3060,10,,0,4,15,1,0x3060,0x3060
12494,0x30CE,11,,0,4,16,1,0x30CE,0x30CE
12970,0x32AA,5,,0,4,10,1,0x32AA,0x32AA
13763,0x35C3,15,implicit_OR_1,2,4,22,1,0x35C3,0x35C3
14044,0x36DC,11,implicit_OR_0,2,4,18,1,0x36DC,0x36DC
14354,0x3812,14,,0,4,19,1,0x3812,0x3812
14871,0x3A17,16,,0,4,21,1,0x3A17,0x3A17
15153,0x3B31,6,implicit_OR_0,2,4,13,1,0x3B31,0x3B31
15200,0x3B60,13,implicit_OR_0,2,4,20,1,0x3B60,0x3B60
15208,0x3B68,14,implicit_OR_0,2,4,21,1,0x3B68,0x3B68
16539,0x409B,14,implicit_OR_0,2,4,21,1,0x409B,0x409B
16802,0x41A2,13,,0,4,18,1,0x41A2,0x41A2
16818,0x41B2,16,implicit_OR_0,2,4,23,1,0x41B2,0x41B2
17051,0x429B,15,implicit_OR_0,2,4,22,1,0x429B,0x429B
18212,0x4724,14,,0,4,19,1,0x4724,0x4724
18429,0x47FD,13,implicit_OR_1,2,4,20,1,0x47FD,0x47FD
18625,0x48C1,17,implicit_OR_0,2,4,24,1,0x48C1,0x48C1
18994,0x4A32,13,,0,4,18,1,0x4A32,0x4A32
19448,0x4BF8,11,implicit_OR_0,2,4,18,1,0x4BF8,0x4BF8
