$1,2.05749e-02,1.19702e-02,3.49222e+00,1.70354e-01,2.05749e-02,1.19702e-02,3.49222e+00,1.70354e-01,2.05749e-02,1.19702e-02,3.49222e+00,1.70354e-01,2.05749e-02,1.19702e-02,3.49222e+00,1.70354e-01
in4,6.94000e-02,6.94000e-02,6.94000e-02,6.94000e-02,6.94000e-02,6.94000e-02,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,1.15440e+00,1.15440e+00,1.15440e+00,1.15440e+00,1.15440e+00,1.15440e+00
in3,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00
in1,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
$5,9.91113e-01,9.91113e-01,9.91113e-01,9.91113e-01,9.91113e-01,9.91113e-01,9.91113e-01,9.91113e-01,1.18673e-01,1.18673e-01,1.18673e-01,1.18673e-01,1.18673e-01,1.18673e-01,1.18673e-01,1.18673e-01
out,2.10897e-02,1.76478e-02,2.11133e+00,7.82582e-01,2.14239e-02,1.79820e-02,2.27202e+00,9.43273e-01,1.41774e-02,1.07355e-02,1.42030e+00,9.15561e-02,2.14213e-02,1.79794e-02,2.27079e+00,9.42043e-01
$2,3.21494e-02,3.21494e-02,1.78610e+00,1.78610e+00,3.29848e-02,3.29848e-02,2.18783e+00,2.18783e+00,1.48685e-02,1.48685e-02,5.85361e-02,5.85361e-02,3.29783e-02,3.29783e-02,2.18475e+00,2.18475e+00
$3,6.33071e+00,6.33071e+00,1.24526e-01,1.24526e-01,6.33071e+00,6.33071e+00,1.24526e-01,1.24526e-01,6.33071e+00,6.33071e+00,1.24526e-01,1.24526e-01,6.33071e+00,6.33071e+00,1.24526e-01,1.24526e-01
$4,1.07679e-01,1.07679e-01,1.07679e-01,1.07679e-01,1.92613e-03,1.92613e-03,1.92613e-03,1.92613e-03,4.24050e+00,4.24050e+00,4.24050e+00,4.24050e+00,2.72926e-03,2.72926e-03,2.72926e-03,2.72926e-03
