in4,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00
in3,4.20000e-03,4.20000e-03,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,2.00820e+00,2.00820e+00,4.20000e-03,4.20000e-03,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,2.00820e+00,2.00820e+00
$3,2.29836e+00,2.29836e+00,1.22666e-01,1.22666e-01,3.11672e+00,3.11672e+00,6.44412e-01,6.44412e-01,9.50055e-02,9.50055e-02,9.41567e-02,9.41567e-02,9.50162e-02,9.50162e-02,9.49232e-02,9.49232e-02
$1,1.44207e-02,2.57573e-03,5.11015e-01,5.48864e-03,8.53530e-03,2.07175e-03,1.11285e-01,4.43608e-03,5.57093e-01,5.55508e-03,5.58513e-01,5.55713e-03,5.57075e-01,5.55505e-03,5.57230e-01,5.55528e-03
out,9.76828e-03,5.03029e-03,2.08406e-01,6.19546e-03,7.41412e-03,4.82870e-03,4.85139e-02,5.77443e-03,2.26837e-01,6.22203e-03,2.27405e-01,6.22285e-03,2.26830e-01,6.22202e-03,2.26892e-01,6.22211e-03
in1,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00
$5,2.37364e-02,2.37364e-02,1.03853e+00,1.03853e+00,1.33340e-02,1.33340e-02,1.04994e-01,1.04994e-01,2.37364e-02,2.37364e-02,1.03853e+00,1.03853e+00,1.33340e-02,1.33340e-02,1.04994e-01,1.04994e-01
$6,5.88679e+00,5.88679e+00,7.40232e-01,7.40232e-01,5.88679e+00,5.88679e+00,7.40232e-01,7.40232e-01,5.88679e+00,5.88679e+00,7.40232e-01,7.40232e-01,5.88679e+00,5.88679e+00,7.40232e-01,7.40232e-01
$2,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02
$4,3.77716e+00,3.77716e+00,3.77716e+00,3.77716e+00,1.12965e+00,1.12965e+00,1.12965e+00,1.12965e+00,1.08125e+00,1.08125e+00,1.08125e+00,1.08125e+00,1.07378e+00,1.07378e+00,1.07378e+00,1.07378e+00
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
