in1,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00
in3,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00
out,3.33946e-02,9.68661e-03,1.29247e-02,7.24932e-03,8.47131e-03,6.14452e-03,8.35442e-03,6.10789e-03,3.33946e-02,9.68661e-03,1.29247e-02,7.24932e-03,8.47131e-03,6.14452e-03,8.35442e-03,6.10789e-03
$2,7.34866e-02,1.42165e-02,2.23119e-02,8.12330e-03,1.11783e-02,5.36129e-03,1.08860e-02,5.26974e-03,7.34866e-02,1.42165e-02,2.23119e-02,8.12330e-03,1.11783e-02,5.36129e-03,1.08860e-02,5.26974e-03
in4,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00
$1,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02
$5,1.12575e+00,1.12575e+00,2.37992e+00,2.37992e+00,3.61847e+00,3.61847e+00,3.67666e+00,3.67666e+00,1.12575e+00,1.12575e+00,2.37992e+00,2.37992e+00,3.61847e+00,3.61847e+00,3.67666e+00,3.67666e+00
$7,9.08521e-02,9.08521e-02,9.08521e-02,9.08521e-02,5.20604e+00,5.20604e+00,5.20604e+00,5.20604e+00,3.68568e-02,3.68568e-02,3.68568e-02,3.68568e-02,1.20104e-01,1.20104e-01,1.20104e-01,1.20104e-01
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
$3,3.61564e+00,1.75552e-01,3.61564e+00,1.75552e-01,3.02138e-02,1.59280e-02,3.02138e-02,1.59280e-02,3.74606e+00,1.84390e-01,3.74606e+00,1.84390e-01,3.50996e+00,1.71024e-01,3.50996e+00,1.71024e-01
$6,2.10340e+00,2.10340e+00,1.31455e-01,1.31455e-01,1.84151e-02,1.84151e-02,1.42433e-02,1.42433e-02,2.10340e+00,2.10340e+00,1.31455e-01,1.31455e-01,1.84151e-02,1.84151e-02,1.42433e-02,1.42433e-02
$8,4.80410e+00,4.80410e+00,4.80410e+00,4.80410e+00,9.50301e-02,9.50301e-02,9.50301e-02,9.50301e-02,4.80410e+00,4.80410e+00,4.80410e+00,4.80410e+00,9.50301e-02,9.50301e-02,9.50301e-02,9.50301e-02
$4,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02
