hex,num_gates,"method_used (1: All,  2: Stopped after Yosys/ABC)"
0x000D,7,1
0x0239,12,2
0x0304,10,2
0x040B,10,2
0x0575,5,1
0x057A,14,2
0x0643,13,2
0x0760,12,2
0x09AF,10,2
0x0F42,11,2
0x1038,9,2
0x1048,11,1
0x10C9,13,2
0x1284,15,2
0x1323,8,1
0x13CE,8,1
0x1714,12,2
0x1858,8,1
0x1A60,12,2
0x1AC6,18,2
0x1CBF,9,1
0x1D95,8,2
0x1FDE,14,2
0x226B,10,1
0x22C6,8,2
0x23A7,8,1
0x240F,11,1
0x2A38,10,2
0x2A56,11,1
0x2FC7,15,2
0x3060,10,2
0x30CE,10,2
0x32AA,5,1
0x35C3,14,2
0x36DC,12,2
0x3812,12,2
0x3A17,15,2
0x3B31,7,2
0x3B60,11,2
0x3B68,12,2
0x409B,16,2
0x41A2,11,1
0x41B2,11,1
0x429B,13,2
0x4724,13,2
0x47FD,11,2
0x48C1,13,2
0x4A32,12,2
0x4BF8,12,2
0x5215,12,2
0x53AF,12,2
0x53D7,11,2
0x599A,13,2
0x5AAD,14,2
0x5B30,10,1
0x5DA9,12,2
0x5F01,8,2
0x5FE2,9,1
0x6060,5,1
0x616A,13,2
0x648B,14,2
0x6572,12,2
0x680A,12,1
0x6847,14,2
0x699D,16,2
0x6F2A,6,1
0x7096,16,2
0x70EC,7,1
0x7176,12,1
0x822B,13,2
0x850E,13,2
0x8F63,11,2
0x914C,9,2
0x918A,11,1
0x93AC,15,2
0x9591,8,1
0x96F7,17,2
0x9917,11,1
0x9BF5,10,2
0x9F8A,9,2
0xA2DA,16,2
0xA7B2,16,2
0xA960,15,2
0xB744,8,1
0xB8AD,14,2
0xBC16,17,2
0xBCA3,13,2
0xBDF1,10,1
0xBEE9,12,1
0xBF36,12,2
0xC248,12,1
0xC4B2,12,2
0xC766,11,2
0xCB82,11,1
0xCBD6,16,2
0xCE97,16,2
0xD319,12,2
0xD326,13,1
0xD477,10,2
0xD4E4,10,2
0xD550,7,1
0xDA80,11,2
0xDBFA,12,2
0xE605,12,2
0xE677,7,1
0xE93A,15,2
0xECF1,10,2
0xEFEB,11,2
0xF43F,8,1
0xF4E7,14,2
0xF5A4,9,2
0xFC79,14,2
