hex,num_gates
0x000D,7
0x0239,12
0x0304,10
0x040B,10
0x0575,5
0x057A,14
0x0643,13
0x0760,12
0x09AF,10
0x0F42,11
0x1038,9
0x1048,13
0x10C9,13
0x1284,15
0x1323,9
0x13CE,9
0x1714,12
0x1858,11
0x1A60,12
0x1AC6,18
0x1CBF,10
0x1D95,8
0x1FDE,14
0x226B,13
0x22C6,8
0x23A7,8
0x240F,12
0x2A38,10
0x2A56,11
0x2FC7,15
0x3060,10
0x30CE,10
0x32AA,5
0x35C3,14
0x36DC,12
0x3812,12
0x3A17,15
0x3B31,7
0x3B60,11
0x3B68,12
0x409B,16
0x41A2,11
0x41B2,12
0x429B,13
0x4724,13
0x47FD,11
0x48C1,13
0x4A32,12
0x4BF8,12
0x5215,12
0x53AF,12
0x53D7,11
0x599A,13
0x5AAD,14
0x5B30,15
0x5DA9,12
0x5F01,8
0x5FE2,12
0x6060,6
0x616A,13
0x648B,14
0x6572,12
0x680A,12
0x6847,14
0x699D,16
0x6F2A,8
0x7096,16
0x70EC,10
0x7176,12
0x822B,13
0x850E,13
0x8F63,11
0x914C,9
0x918A,12
0x93AC,15
0x9591,9
0x96F7,17
0x9917,13
0x9BF5,10
0x9F8A,9
0xA2DA,16
0xA7B2,16
0xA960,15
0xB744,10
0xB8AD,14
0xBC16,17
0xBCA3,13
0xBDF1,13
0xBEE9,16
0xBF36,12
0xC248,12
0xC4B2,12
0xC766,11
0xCB82,11
0xCBD6,16
0xCE97,16
0xD319,12
0xD326,16
0xD477,10
0xD4E4,10
0xD550,7
0xDA80,11
0xDBFA,12
0xE605,12
0xE677,10
0xE93A,15
0xECF1,10
0xEFEB,11
0xF43F,11
0xF4E7,14
0xF5A4,9
0xFC79,14
0xD477,10
0xD4E4,10
0xD550,7
0xDA80,11
0xDBFA,12
0xE605,12
0xE677,10
0xE93A,15
0xECF1,10
0xEFEB,11
0xF43F,11
0xF4E7,14
0xF5A4,9
0xFC79,14
