hex,energy,best_pattern_key,max_removal,num_inputs,num_nodes,num_outputs
0x000D,7,,0,4,12,1
0x0239,12,,0,4,17,1
0x0304,10,,0,4,15,1
0x040B,10,,0,4,15,1
0x0575,5,,0,4,10,1
0x057A,12,implicit_OR_0,2,4,19,1
0x0643,13,,0,4,18,1
0x0760,12,,0,4,17,1
0x09AF,10,,0,4,15,1
0x0F42,11,,0,4,16,1
0x1038,9,,0,4,14,1
0x1048,13,,0,4,18,1
0x10C9,13,,0,4,18,1
0x1284,15,,0,4,20,1
0x1323,9,,0,4,14,1
0x13CE,9,,0,4,14,1
0x1714,10,implicit_OR_0,2,4,17,1
0x1858,9,implicit_OR_0,2,4,16,1
0x1A60,12,,0,4,17,1
0x1AC6,18,,0,4,23,1
0x1CBF,10,,0,4,15,1
0x1D95,8,,0,4,13,1
0x1FDE,12,implicit_OR_1,2,4,19,1
0x226B,11,implicit_OR_0,2,4,18,1
0x22C6,8,,0,4,13,1
0x23A7,8,,0,4,13,1
0x240F,12,,0,4,17,1
0x2A38,10,,0,4,15,1
0x2A56,11,,0,4,16,1
0x2FC7,15,,0,4,20,1
0x3060,10,,0,4,15,1
0x30CE,10,,0,4,15,1
0x32AA,5,,0,4,10,1
0x35C3,12,implicit_OR_0,2,4,19,1
0x36DC,12,,0,4,17,1
0x3812,12,,0,4,17,1
0x3A17,15,,0,4,20,1
0x3B31,7,,0,4,12,1
0x3B60,11,,0,4,16,1
0x3B68,12,,0,4,17,1
0x409B,14,implicit_OR_0,2,4,21,1
0x41A2,11,,0,4,16,1
0x41B2,12,,0,4,17,1
0x429B,13,,0,4,18,1
0x4724,13,,0,4,18,1
0x47FD,9,implicit_OR_0,2,4,16,1
0x48C1,13,,0,4,18,1
0x4A32,12,,0,4,17,1
0x4BF8,12,,0,4,17,1
0x5215,12,,0,4,17,1
0x53AF,12,,0,4,17,1
0x53D7,9,implicit_OR_0,2,4,16,1
0x599A,13,,0,4,18,1
0x5AAD,12,implicit_OR_0,2,4,19,1
0x5B30,15,,0,4,20,1
0x5DA9,12,,0,4,17,1
0x5F01,8,,0,4,13,1
0x5FE2,12,,0,4,17,1
0x6060,5,,0,4,11,2
0x616A,11,implicit_OR_0,2,4,18,1
0x648B,14,,0,4,19,1
0x6572,12,,0,4,17,1
0x680A,12,,0,4,17,1
0x6847,14,,0,4,19,1
0x699D,16,,0,4,21,1
0x6F2A,6,implicit_OR_0,2,4,13,1
0x7096,16,,0,4,21,1
0x70EC,8,implicit_OR_0,2,4,15,1
0x7176,12,,0,4,17,1
0x822B,13,,0,4,18,1
0x850E,13,,0,4,18,1
0x8F63,11,,0,4,16,1
0x914C,9,,0,4,14,1
0x918A,12,,0,4,17,1
0x93AC,15,,0,4,20,1
0x9591,9,,0,4,14,1
0x96F7,17,,0,4,22,1
0x9917,11,implicit_OR_0,2,4,18,1
0x9BF5,10,,0,4,15,1
0x9F8A,7,implicit_OR_0,2,4,14,1
0xA2DA,16,,0,4,21,1
0xA7B2,14,implicit_OR_1,2,4,21,1
0xA960,15,,0,4,20,1
0xB744,10,,0,4,15,1
0xB8AD,12,implicit_OR_0,2,4,19,1
0xBC16,15,implicit_OR_0,2,4,22,1
0xBCA3,11,implicit_OR_0,2,4,18,1
0xBDF1,11,implicit_OR_1,2,4,18,1
0xBEE9,14,implicit_OR_0,2,4,21,1
0xBF36,10,implicit_OR_0,2,4,17,1
0xC248,12,,0,4,17,1
0xC4B2,12,,0,4,17,1
0xC766,11,,0,4,16,1
0xCB82,11,,0,4,16,1
0xCBD6,16,,0,4,21,1
0xCE97,16,,0,4,21,1
0xD319,12,,0,4,17,1
0xD326,14,implicit_OR_1,2,4,21,1
0xD477,8,implicit_OR_0,2,4,15,1
0xD4E4,10,,0,4,15,1
0xD550,7,,0,4,12,1
0xDA80,9,implicit_OR_0,2,4,16,1
0xDBFA,12,,0,4,17,1
0xE605,12,,0,4,17,1
0xE677,10,,0,4,15,1
0xE93A,15,,0,4,20,1
0xECF1,8,implicit_OR_0,2,4,15,1
0xEFEB,9,implicit_OR_1,2,4,16,1
0xF43F,11,,0,4,16,1
0xF4E7,14,,0,4,19,1
0xF5A4,9,,0,4,14,1
0xFC79,12,implicit_OR_0,2,4,19,1
