episode,best_energy_in_episode,best_energy_so_far,num_new_graphs,wall_time_s
0,42.0,4.0,,12.114917317871004
1,30.0,4.0,,12.119792559882626
2,15.0,4.0,,12.122921812813729
3,7.0,4.0,,12.125930450856686
4,11.0,4.0,,12.128004668978974
5,11.0,4.0,,12.130630275933072
6,41.0,4.0,,12.133267764933407
7,34.0,4.0,,12.135732347844169
8,38.0,4.0,,12.138247214956209
9,22.0,4.0,,12.140992917818949
10,23.0,4.0,,12.144102684920654
11,34.0,4.0,,12.146865212824196
12,24.0,4.0,,12.149774417979643
13,23.0,4.0,,12.153052146779373
14,11.0,4.0,,12.155804068781435
15,14.0,4.0,,12.15813789400272
16,35.0,4.0,,12.160081178881228
17,23.0,4.0,,12.162199606886134
18,26.0,4.0,,12.165182267781347
19,34.0,4.0,,12.168059024959803
20,10.0,4.0,,12.17057242197916
21,34.0,4.0,,12.173228662926704
22,34.0,4.0,,12.176135571906343
23,11.0,4.0,,12.178777370834723
24,23.0,4.0,,12.181438113795593
25,37.0,4.0,,12.184098468860611
26,23.0,4.0,,12.186167919775471
27,18.0,4.0,,12.188926656963304
28,5.0,4.0,,12.191413659835234
29,11.0,4.0,,12.194264988880605
30,22.0,4.0,,12.197066470980644
31,23.0,4.0,,12.199600376887247
32,23.0,4.0,,12.202049639774486
33,11.0,4.0,,12.205040527973324
34,11.0,4.0,,12.20777055178769
35,26.0,4.0,,12.21085872896947
36,11.0,4.0,,12.213758536847308
37,23.0,4.0,,12.216493667801842
38,35.0,4.0,,12.21910935593769
39,26.0,4.0,,12.222193903988227
40,30.0,4.0,,12.225129510974512
41,26.0,4.0,,12.227948059793562
42,34.0,4.0,,12.23016058281064
43,6.0,4.0,,12.232510603964329
44,30.0,4.0,,12.235527839977294
45,41.0,4.0,,12.23812831682153
46,23.0,4.0,,12.240162361878902
47,28.0,4.0,,12.242906506871805
48,32.0,4.0,,12.245036613894626
49,41.0,4.0,,12.247131062904373
50,6.0,4.0,,12.249332657782361
51,34.0,4.0,,12.251976556843147
52,8.0,4.0,,12.254165491787717
53,33.0,4.0,,12.256019576918334
54,11.0,4.0,,12.258265687851235
55,11.0,4.0,,12.26086538983509
56,30.0,4.0,,12.26418189285323
57,37.0,4.0,,12.266906789969653
58,41.0,4.0,,12.26964022195898
59,11.0,4.0,,12.272520007798448
60,27.0,4.0,,12.274990455945954
61,35.0,4.0,,12.277840305818245
62,35.0,4.0,,12.280669246800244
63,23.0,4.0,,12.283273649867624
64,35.0,4.0,,12.285779784899205
65,36.0,4.0,,12.288663831772283
66,9.0,4.0,,12.291288317879662
67,6.0,4.0,,12.294067819835618
68,24.0,4.0,,12.296218585921451
69,23.0,4.0,,12.298671750817448
70,34.0,4.0,,12.30058454698883
71,23.0,4.0,,12.3025294567924
72,36.0,4.0,,12.305068768793717
73,33.0,4.0,,12.308265681844205
74,11.0,4.0,,12.310152357909828
75,26.0,4.0,,12.312181495828554
76,13.0,4.0,,12.31531065586023
77,23.0,4.0,,12.317913916893303
78,23.0,4.0,,12.320300926920027
79,34.0,4.0,,12.323771349852905
80,12.0,4.0,,21.924452372826636
81,34.0,4.0,,21.927418590988964
82,6.0,4.0,,21.93030376895331
83,38.0,4.0,,21.93199590779841
84,30.0,4.0,,21.93338332278654
85,13.0,4.0,,21.935045616002753
86,10.0,4.0,,21.936971091898158
87,23.0,4.0,,21.938872682861984
88,11.0,4.0,,21.94105689879507
89,12.0,4.0,,21.94371943292208
90,24.0,4.0,,21.94634012877941
91,22.0,4.0,,21.948853727895766
92,11.0,4.0,,21.950711184879765
93,6.0,4.0,,21.953029942000285
94,17.0,4.0,,21.95546986279078
95,40.0,4.0,,21.95710393693298
96,23.0,4.0,,21.958595621865243
97,34.0,4.0,,21.960107320919633
98,14.0,4.0,,21.96220378484577
99,6.0,4.0,,21.964165503857657
100,26.0,4.0,,21.965558216907084
101,31.0,4.0,,21.96726456587203
102,27.0,4.0,,21.969189014984295
103,15.0,4.0,,21.970968248788267
104,36.0,4.0,,21.972938857972622
105,8.0,4.0,,21.974955735960975
106,18.0,4.0,,21.9769979568664
107,13.0,4.0,,21.978895576903597
108,26.0,4.0,,21.981250850949436
109,11.0,4.0,,21.984323418932036
110,17.0,4.0,,21.986869894899428
111,34.0,4.0,,21.988412156002596
112,23.0,4.0,,21.990900493925437
113,33.0,4.0,,21.994068537838757
114,15.0,4.0,,21.997044725809246
115,31.0,4.0,,22.00033130683005
116,26.0,4.0,,22.003399502951652
117,14.0,4.0,,22.006881863810122
118,23.0,4.0,,22.009087619837373
119,26.0,4.0,,22.01160866790451
120,11.0,4.0,,22.014353309990838
121,26.0,4.0,,22.016939787892625
122,9.0,4.0,,22.01944789593108
123,34.0,4.0,,22.021357564954087
124,8.0,4.0,,22.02445530681871
125,9.0,4.0,,22.02681368496269
126,15.0,4.0,,22.029757865937427
127,41.0,4.0,,22.033037837827578
128,11.0,4.0,,22.03602855396457
129,14.0,4.0,,22.039727551862597
130,34.0,4.0,,22.042819389840588
131,11.0,4.0,,22.046063906978816
132,22.0,4.0,,22.048982194857672
133,26.0,4.0,,22.05100812483579
134,41.0,4.0,,22.052295980975032
135,8.0,4.0,,22.054789561778307
136,26.0,4.0,,22.05755455000326
137,9.0,4.0,,22.059960005804896
138,15.0,4.0,,22.062909642001614
139,36.0,4.0,,22.065977703779936
140,35.0,4.0,,22.068944041850045
141,8.0,4.0,,22.07163632288575
142,14.0,4.0,,22.075031927786767
143,30.0,4.0,,22.077717494918033
144,8.0,4.0,,22.07988215680234
145,26.0,4.0,,22.082972037838772
146,8.0,4.0,,22.0858727179002
147,26.0,4.0,,22.0885119040031
148,11.0,4.0,,22.090659421868622
149,34.0,4.0,,22.09285402484238
150,5.0,4.0,,22.09574825479649
151,13.0,4.0,,22.097933285869658
152,12.0,4.0,,22.100106233963743
153,31.0,4.0,,22.102467843797058
154,26.0,4.0,,22.104844779940322
155,26.0,4.0,,22.107498577795923
156,7.0,4.0,,22.11027496983297
157,8.0,4.0,,22.113535585813224
158,22.0,4.0,,22.116498147835955
159,36.0,4.0,,22.11907733278349
160,23.0,4.0,,30.373056154930964
161,27.0,4.0,,30.376729332841933
162,33.0,4.0,,30.379857582971454
163,19.0,4.0,,30.38243167893961
