hash,energy,size
a68d8458e4294fe9d8b9aad7be88ff4f,42.0,49
131bc3d3ea8063bca1861de1318a5eb7,34.0,41
fcd9eabf3184881e7d8b769856d01617,33.0,40
3169289a7d2c63a86ecd3f74c4549056,35.0,42
1df0016cad38c5b73f58b4d5eaab41e3,35.0,42
fecc9d5bb702aff0531a5e8719ebed9e,35.0,42
79919028acebf5ed9bf0bfb3ea4ac23d,6.0,11
841a02a14570015bad48c77e427d1d2a,35.0,42
b4e0fdc5786113f5687c4601cd01dab9,40.0,47
03938d829e24c91b49c99fa919a30e1c,40.0,47
646c92d46f5bafed1bc3eb5916a60827,41.0,48
3ad2f8518e31f3b0622acf37ac14a737,41.0,48
74119782cc259d3e2b8ec574bccff152,42.0,49
82ec7b0bcb803209c961e3c24e9607e5,40.0,47
f2f6b9f8c2b0e1daed0342fca77bec43,8.0,13
03721f682c0e6a02503e4061d0dd0625,41.0,48
a3b07f245a56d2fd72c8d498531f2bc3,35.0,42
b0902b74628efed44247a763f16de126,41.0,48
0ee3dcb927d3a0a7187f59ee0be187af,23.0,30
2a31806d685791e0d6f8f75597175b88,41.0,48
0e204dd65b512ab0e9145e5073edf17a,23.0,30
53136a23ced9e19e3d4d37be6cdae26f,34.0,41
4f095ebb2b50e6f72d7a93fb119216e6,40.0,47
a59d278e194dfeb5976009c601e59072,42.0,49
711efff7c6171a06d33a41f2728ef48d,41.0,48
c053066aeab147687684df5dde40a58c,42.0,49
942873c63628ce4d615272002c3431f8,4.0,13
9eb0f1e65b231e39679ae25c783e6e9c,38.0,45
de3152824fa727f6e884a8421c8264e2,11.0,16
c5f1e588499f3c2b7a3386235d60987c,6.0,11
0eb01b2e807cf71f4c40517d6797e903,33.0,40
348bddf23c8a889316c00af02f5d4ddc,30.0,37
5f445cd04e1c9c151a41056baf3499b5,30.0,37
2a1b471f6741f9f08de8c338f05c196a,23.0,30
afaa67029135d1706568b76d930ce22c,35.0,42
dc09753dc298e0685a2574dc90472f58,28.0,35
f4c4155ddc94f08e4980d74ccedf4efb,5.0,12
c0d594a62da4a3d0d0c61ec07749f8ec,35.0,42
6815e62dd174cc66415b4f4cd93eddef,11.0,16
aa17dfb8d57f1a56d18f4279de1a3a8b,35.0,42
0800a12dc67fd2207f2cf7b130ac75f9,34.0,41
