Step,custom/best_energy,wall_time_s
0,43.0,0.03089054417796433
80,5.0,2.3866870801430196
160,5.0,3.9102577220182866
240,4.0,5.193133947206661
320,4.0,6.542524897027761
400,4.0,7.71848050900735
480,4.0,8.874171178089455
560,4.0,10.101783941034228
640,4.0,11.388445196207613
720,4.0,12.589320297120139
800,4.0,13.64088586322032
880,4.0,15.143508113222197
960,4.0,16.39826523605734
1040,4.0,17.80721921706572
1120,4.0,19.12084411503747
1200,4.0,20.53445174312219
1280,4.0,21.72607555310242
1360,4.0,22.77708369703032
1440,4.0,23.826898457016796
1520,4.0,24.750651573063806
1600,4.0,25.771531405160204
1680,4.0,27.2444061760325
1760,4.0,28.424756116000935
1840,4.0,29.536664109211415
1920,4.0,30.709125181194395
2000,4.0,31.66389232221991
2080,4.0,32.67337239300832
2160,4.0,33.66655447520316
2240,4.0,34.65944424411282
2320,4.0,35.70507015706971
2400,4.0,36.6613683369942
2480,4.0,38.22983995010145
2560,4.0,39.379411824047565
2640,4.0,40.47892267303541
2720,4.0,41.650663026142865
2800,4.0,42.77977289306
2880,4.0,43.818058860022575
2960,4.0,44.8612987450324
3040,4.0,45.89179432601668
3120,4.0,46.8784971840214
3200,4.0,47.959670765092596
3280,4.0,49.24635242600925
3360,4.0,50.33214605413377
3440,4.0,51.416954406071454
3520,4.0,52.231943210121244
3600,4.0,53.01161680999212
3680,4.0,53.72732115001418
3760,4.0,54.435871727066115
3840,4.0,55.13955700700171
3920,4.0,55.879851778037846
4000,4.0,56.638605057029054
4080,4.0,58.07030342309736
4160,4.0,59.23576133721508
4240,4.0,60.36691680201329
4320,4.0,61.549988236045465
4400,4.0,62.75703203305602
4480,4.0,63.7776373650413
4560,4.0,64.86356935906224
4640,4.0,65.92383099417202
4720,4.0,66.91911252401769
4800,4.0,67.90509608807042
4880,4.0,69.25033946009353
4960,4.0,70.40887964819558
5040,4.0,71.45315905520692
5120,4.0,72.34695016010664
5200,4.0,73.24259816808626
5280,4.0,74.24106138013303
5360,4.0,75.05323423119262
5440,4.0,75.96346836118028
5520,4.0,76.74315178301185
5600,4.0,77.52358730812557
5680,4.0,79.02588535705581
5760,4.0,80.71741264918819
5840,4.0,81.78841811814345
5920,4.0,82.84183455910534
6000,4.0,83.85845454316586
6080,4.0,84.72755323699676
6160,4.0,85.59006440010853
6240,4.0,86.4841999001801
6320,4.0,87.3393579130061
6400,4.0,88.30759079521522
6480,4.0,89.66730171721429
6560,4.0,90.60345419705845
6640,4.0,91.60422223014757
6720,4.0,92.7541939211078
6800,4.0,93.69007744407281
6880,4.0,94.56607369310223
6960,4.0,95.56339071318507
7040,4.0,96.55866076704115
7120,4.0,97.41162330913357
7200,4.0,98.36846227222122
7280,4.0,99.71118749305606
7360,4.0,100.92112747300416
7440,4.0,102.0403325711377
7520,4.0,103.0074229540769
7600,4.0,104.11583039700054
7680,4.0,105.20987275405787
7760,4.0,106.11919077811763
7840,4.0,107.18699575820938
7920,4.0,108.0793010101188
8000,4.0,108.84034067415632
8080,4.0,110.35143963014707
8160,4.0,111.59979559900239
8240,4.0,112.83315924718045
8320,4.0,113.8700399310328
8400,4.0,115.29916544700973
8480,4.0,116.72044803318568
8560,4.0,117.85783347510733
8640,4.0,118.59108096617274
8720,4.0,119.38029231620021
8800,4.0,120.05281543917954
8880,4.0,121.46767135499977
8960,4.0,122.73786763520911
9040,4.0,124.22663568612188
9120,4.0,125.47544701513834
9200,4.0,127.33412147918716
9280,4.0,128.99442578712478
9360,4.0,130.73290351009928
9440,4.0,131.60921958112158
9520,4.0,132.52621964318678
9600,4.0,133.87573658814654
9680,4.0,135.2418483782094
9760,4.0,136.44845313415863
9840,4.0,137.7140028611757
9920,4.0,138.73006380302832
10000,4.0,140.15614034514874
10080,4.0,141.75621195603162
10160,4.0,142.818393107038
10240,4.0,143.78315131017007
10320,4.0,144.69554043910466
10400,4.0,145.69486587611027
10480,4.0,147.52212986908853
10560,4.0,148.65619981708005
10640,4.0,149.7761776871048
10720,4.0,150.73306603520177
10800,4.0,151.69219606020488
10880,4.0,152.926174974069
10960,4.0,153.88224232709035
11040,4.0,154.84869569004513
11120,4.0,155.90177720109932
11200,4.0,156.96254425612278
11280,4.0,158.9084409251809
11360,4.0,161.1484719910659
11440,4.0,162.56932229408994
11520,4.0,164.00359991099685
11600,4.0,165.43246607901528
11680,4.0,167.26769221411087
11760,4.0,168.6678605962079
11840,4.0,170.21770315803587
11920,4.0,172.15549164405093
12000,4.0,174.55623384704813
12080,4.0,176.28140041301958
12160,4.0,177.55148558900692
12240,4.0,179.24533690302633
12320,4.0,180.80662648007274
12400,4.0,182.1462194782216
12480,4.0,183.42500774608925
12560,4.0,185.09375551110134
12640,4.0,186.4271730100736
12720,4.0,187.31998214614578
12800,4.0,188.32827363116667
12880,4.0,190.0570243531838
12960,4.0,191.6848702460993
13040,4.0,193.04106696508825
13120,4.0,194.43123707501218
13200,4.0,195.54679085710086
13280,4.0,196.59329609316774
13360,4.0,197.35942910821177
13440,4.0,198.41917062201537
13520,4.0,199.55540218902752
13600,4.0,200.31767369201407
