hash,energy,size
03caa5001776f9696faa46d0bff69013,43.0,50
c39a13405d3ca6afac03d34f9ef50421,20.0,27
8e22c539814ee9852cb4b610ea650eba,31.0,38
1a3ae00bf350646771996682d24c50cf,30.0,37
5806f88f15a113282b932c240830f21f,25.0,32
0f55a606d9a5470605edddf25db9508a,43.0,50
a9b82e10f78246f20d6dd118984e00db,36.0,43
6c8a6d34085eeaa8bab395e96f0bfdc9,36.0,43
f4c4155ddc94f08e4980d74ccedf4efb,5.0,12
1c6193b60a8bdc764f8156791f244b3c,29.0,36
79919028acebf5ed9bf0bfb3ea4ac23d,6.0,11
168ba4417a19cb68a3dea88ef1f7bb83,42.0,49
b48cc65dce0cae479f16ac294a8f494e,41.0,48
c8a31298122334786ceca48e9a4ec523,41.0,48
c61fc19039a92a05964f2c3f93c767e0,42.0,49
d52eb6dfa9879112d4beadbdbb9b465f,43.0,50
b7b7808f1686323113de8a19832b2b32,42.0,49
c7a6cf7bd218193a55aa6a5fa287fbdc,42.0,49
fa97c6f510de2c93c9645b8d66609370,23.0,30
80939609ba0022246872289d3efa3eb7,43.0,50
bd5772a479fdb1a5201527750e7a4ad1,41.0,48
c32a91fb46513c8c62e83932c690529b,43.0,50
13af64ab532437e61167d022b275929a,43.0,50
1fd587ab79d6290199cb6f26f8465684,46.0,53
ac8379bc8d4b364f57a2eeac6006a9f0,29.0,36
061d09072560e4e1e1df0c96bc6cae40,39.0,46
3e73564cb4da7d99ed73a03a4b76d477,43.0,50
3729028f942c37d7f8e063507f2cd735,39.0,46
4154b55cd6cae46dba4e83ee37abf3c0,19.0,26
c5f1e588499f3c2b7a3386235d60987c,6.0,11
91673153521f695b089cd9ab348ccf0e,30.0,37
27b820fffedcb304f8bf8baa56af585e,43.0,50
5e59d6ef4f6abad74a87ce069c804257,8.0,15
13f67aa63cd693c3f121d12aeb6fa04f,25.0,32
b45aa77fecfc50ca7874f486b58e67e6,25.0,32
c5386fb98217ef0bb0599f373368c7cd,25.0,32
a29c9289688e674fb15605ca624d64cd,30.0,37
38e3906846866e6707086bb7470d41a5,29.0,36
929d3b6ae4ae0f84b62e6b8d0ad46965,43.0,50
64d7b01e6b279bd78f7a7acf07cc7f8d,23.0,30
2ef57ce527b98b68b5258cfe21e0f616,36.0,43
ba0ed3c42d52eb67285a05dfda74cfa7,37.0,44
0a167d346eb3ec69a45e0fbd2110ed4d,23.0,30
d73615a51989b1aca01e0b6763453af4,36.0,43
a91d7d556f0dd882e2935bb1828ccb34,27.0,34
59e40192de5e3bda508af05349fe67ed,21.0,28
c9dce762ef48dfa1c49a884ea25570b5,42.0,49
942873c63628ce4d615272002c3431f8,4.0,11
72867254401b40f9f9efb47561817c7a,39.0,46
04772e467cf9b12ef845e6c78af2380a,31.0,38
bd497e64b22498f1653160aabe787cd9,8.0,15
5119650cbe33d8db7bc68bf36ab52feb,6.0,11
7e2fda76c08c833b634ab4ec8329bf4b,19.0,26
5e2d82ff46e6300ae414d4f50f306fed,27.0,34
b732dd34e56a91e08613f1f264b43ca3,23.0,30
de984435baa081dad372db8dd00a3a0c,41.0,48
6c631e783bd0823e44e9368ab893b156,28.0,35
2bbe4979380e262edb807e0f1b8082aa,23.0,30
fceb7720668e2b25f53f36dec31b0ff9,34.0,41
2f614c0e79ff4d96ce52c22a44632624,42.0,49
05c8a28cba2f9afb84c697ce59d020cb,34.0,41
30e4da213da5954af1e9207c84033acb,42.0,49
