episode,best_energy_in_episode,best_energy_so_far,num_new_graphs,wall_time_s
0,7.0,5.0,,11.056815224932507
1,35.0,5.0,,11.062201536959037
2,22.0,5.0,,11.06589235085994
3,27.0,5.0,,11.06871521496214
4,22.0,5.0,,11.071719188941643
5,41.0,5.0,,11.074527874821797
6,42.0,5.0,,11.076958569930866
7,40.0,5.0,,11.079541628947482
8,35.0,5.0,,11.083193455822766
9,25.0,5.0,,11.086499162949622
10,38.0,5.0,,11.089247308904305
11,40.0,5.0,,11.09191669896245
12,6.0,5.0,,11.094500889768824
13,36.0,5.0,,11.09659112477675
14,35.0,5.0,,11.099223178811371
15,6.0,5.0,,11.101890952792019
16,7.0,5.0,,11.1045113268774
17,7.0,5.0,,11.107583763776347
18,28.0,5.0,,11.111052489839494
19,5.0,5.0,,11.114429676905274
20,42.0,5.0,,11.117247660877183
21,42.0,5.0,,11.120404306799173
22,8.0,5.0,,11.12318172887899
23,10.0,5.0,,11.12634659698233
24,41.0,5.0,,11.129488565959036
25,40.0,5.0,,11.133051345823333
26,42.0,5.0,,11.136014639865607
27,7.0,5.0,,11.137508631916717
28,10.0,5.0,,11.139039078960195
29,39.0,5.0,,11.141007648780942
30,10.0,5.0,,11.143081397982314
31,8.0,5.0,,11.14642659178935
32,42.0,5.0,,11.149287667823955
33,9.0,5.0,,11.151894819922745
34,7.0,5.0,,11.154009026940912
35,42.0,5.0,,11.156923864968121
36,7.0,5.0,,11.159573553828523
37,5.0,5.0,,11.16228200495243
38,7.0,5.0,,11.16548928595148
39,9.0,5.0,,11.168704935815185
40,41.0,5.0,,11.171930199954659
41,35.0,5.0,,11.174031540984288
42,36.0,5.0,,11.176201263908297
43,8.0,5.0,,11.178632867988199
44,42.0,5.0,,11.18107829685323
45,41.0,5.0,,11.183318190975115
46,19.0,5.0,,11.185903048841283
47,25.0,5.0,,11.187965515768155
48,10.0,5.0,,11.190258967923
49,41.0,5.0,,11.192912219790742
50,35.0,5.0,,11.195920813828707
51,11.0,5.0,,11.198730252915993
52,25.0,5.0,,11.200779598904774
53,42.0,5.0,,11.203211915912107
54,42.0,5.0,,11.205814770888537
55,8.0,5.0,,11.207938340958208
56,40.0,5.0,,11.210461521986872
57,11.0,5.0,,11.212879999773577
58,7.0,5.0,,11.215958140790462
59,9.0,5.0,,11.218311817850918
60,41.0,5.0,,11.221047341823578
61,42.0,5.0,,11.223670411854982
62,36.0,5.0,,11.226290620863438
63,40.0,5.0,,11.228322467999533
64,42.0,5.0,,11.231421403819695
65,41.0,5.0,,11.23488488397561
66,7.0,5.0,,11.236827309941873
67,15.0,5.0,,11.23972676298581
68,28.0,5.0,,11.2423040647991
69,42.0,5.0,,11.245609527919441
70,7.0,5.0,,11.248006076784804
71,7.0,5.0,,11.249731826828793
72,28.0,5.0,,11.25235992576927
73,5.0,5.0,,11.254462910816073
74,42.0,5.0,,11.256949796807021
75,7.0,5.0,,11.259627491934225
76,11.0,5.0,,11.262377121951431
77,8.0,5.0,,11.264765744796023
78,15.0,5.0,,11.267190083861351
79,42.0,5.0,,11.269484744872898
80,40.0,5.0,,22.730243793921545
81,7.0,5.0,,22.734151555923745
82,14.0,5.0,,22.73750891094096
83,22.0,5.0,,22.739694880787283
84,42.0,5.0,,22.7415081767831
85,11.0,5.0,,22.743415316799656
86,7.0,5.0,,22.745168443769217
87,27.0,5.0,,22.747070737881586
88,26.0,5.0,,22.749608570942655
89,7.0,5.0,,22.75233892397955
90,7.0,5.0,,22.754839082947
91,7.0,5.0,,22.757314727874473
92,13.0,5.0,,22.759357259841636
93,7.0,5.0,,22.760627992916852
94,11.0,5.0,,22.762126597808674
95,24.0,5.0,,22.763444481883198
96,41.0,5.0,,22.765107213985175
97,41.0,5.0,,22.766891398932785
98,31.0,5.0,,22.768742011860013
99,9.0,5.0,,22.771488334983587
100,24.0,5.0,,22.774059523828328
101,7.0,5.0,,22.776866567786783
102,7.0,5.0,,22.779271258972585
103,8.0,5.0,,22.78148195380345
104,14.0,5.0,,22.78432045993395
105,40.0,5.0,,22.787156427977607
106,6.0,5.0,,22.789153426885605
107,10.0,5.0,,22.791750738862902
108,41.0,5.0,,22.793973788851872
109,7.0,5.0,,22.79633898078464
110,9.0,5.0,,22.79935854091309
111,11.0,5.0,,22.802632635924965
112,10.0,5.0,,22.805416062939912
113,28.0,5.0,,22.808149810880423
114,11.0,5.0,,22.81116725690663
115,11.0,5.0,,22.814102606847882
116,42.0,5.0,,22.816597140859812
117,41.0,5.0,,22.81914887879975
118,42.0,5.0,,22.82209234079346
119,8.0,5.0,,22.82530600577593
120,42.0,5.0,,22.82821797276847
121,9.0,5.0,,22.83121037390083
122,40.0,5.0,,22.83408162277192
123,22.0,5.0,,22.837216312997043
124,36.0,5.0,,22.839589005801827
125,42.0,5.0,,22.841470932820812
126,42.0,5.0,,22.84459162480198
127,42.0,5.0,,22.847188967978582
128,38.0,5.0,,22.84987254696898
129,24.0,5.0,,22.853228534804657
130,7.0,5.0,,22.85674560884945
131,6.0,5.0,,22.860181242926046
132,7.0,5.0,,22.86332995793782
133,7.0,5.0,,22.866517557995394
134,41.0,5.0,,22.8699631257914
135,7.0,5.0,,22.873113702982664
136,41.0,5.0,,22.87603568797931
137,13.0,5.0,,22.87922567781061
138,7.0,5.0,,22.882359236944467
139,10.0,5.0,,22.885438622906804
140,40.0,5.0,,22.888267879839987
141,39.0,5.0,,22.89091223687865
142,24.0,5.0,,22.89390072482638
143,29.0,5.0,,22.896887320792302
144,7.0,5.0,,22.90023943898268
145,6.0,5.0,,22.903277460951358
146,40.0,5.0,,22.906149899819866
147,13.0,5.0,,22.909001159947366
148,10.0,5.0,,22.911693098954856
149,13.0,5.0,,22.914757177932188
150,7.0,5.0,,22.917546425946057
151,35.0,5.0,,22.919936533784494
152,42.0,5.0,,22.922319208970293
153,35.0,5.0,,22.92561757285148
154,41.0,5.0,,22.92854656977579
155,28.0,5.0,,22.93189793988131
156,6.0,5.0,,22.934998952783644
157,38.0,5.0,,22.938125275773928
158,40.0,5.0,,22.940974570810795
159,7.0,5.0,,22.943570161936805
160,42.0,5.0,,31.59214415983297
161,8.0,5.0,,31.595488785998896
162,24.0,5.0,,31.59800143283792
163,10.0,5.0,,31.600405611796305
164,36.0,5.0,,31.602664653910324
165,41.0,5.0,,31.605286937905475
166,7.0,5.0,,31.60794051690027
167,7.0,5.0,,31.611895866924897
168,39.0,5.0,,31.615544872824103
169,24.0,5.0,,31.618256750982255
170,31.0,5.0,,31.621223794994876
171,12.0,5.0,,31.62455363688059
172,28.0,5.0,,31.627208936959505
173,24.0,5.0,,31.629545493982732
174,28.0,5.0,,31.63243216695264
175,13.0,5.0,,31.63563427585177
176,7.0,5.0,,31.63841366977431
177,27.0,5.0,,31.642155860783532
178,45.0,5.0,,31.645152562996373
179,10.0,5.0,,31.647846288979053
180,42.0,5.0,,31.650464401813224
181,38.0,5.0,,31.652986502973363
182,38.0,5.0,,31.655148511985317
183,7.0,5.0,,31.657015442848206
184,10.0,5.0,,31.659590273862705
185,40.0,5.0,,31.662080152891576
186,11.0,5.0,,31.664664073847234
187,7.0,5.0,,31.66683965199627
188,18.0,5.0,,31.669512828812003
189,42.0,5.0,,31.67222150787711
190,41.0,5.0,,31.67429902893491
191,23.0,5.0,,31.6774464068003
192,10.0,5.0,,31.68083326681517
193,10.0,5.0,,31.683295326773077
194,11.0,5.0,,31.685320304939523
195,9.0,5.0,,31.687372147804126
196,36.0,5.0,,31.69076662696898
197,9.0,5.0,,31.694107153918594
198,7.0,5.0,,31.696900264825672
199,9.0,5.0,,31.700090446975082
200,38.0,5.0,,31.703249904792756
201,13.0,5.0,,31.706476600840688
202,7.0,5.0,,31.708467214833945
203,28.0,5.0,,31.711589268874377
204,41.0,5.0,,31.714850146789104
205,7.0,5.0,,31.717493880772963
206,41.0,5.0,,31.720390075817704
207,7.0,5.0,,31.723156179999933
208,38.0,5.0,,31.725502728950232
209,7.0,5.0,,31.727798852836713
210,13.0,5.0,,31.73048311797902
211,7.0,5.0,,31.733533004997298
212,41.0,5.0,,31.736159514868632
213,46.0,5.0,,31.738914685789496
214,41.0,5.0,,31.74220541678369
215,33.0,5.0,,31.744998975889757
216,27.0,5.0,,31.74757867399603
217,24.0,5.0,,31.750907497946173
218,42.0,5.0,,31.754348331829533
219,42.0,5.0,,31.757423281902447
220,36.0,5.0,,31.760790371801704
221,25.0,5.0,,31.76411680993624
222,23.0,5.0,,31.766792089911178
223,21.0,5.0,,31.76922546699643
224,40.0,5.0,,31.772167219780385
225,25.0,5.0,,31.77481060777791
226,7.0,5.0,,31.777229218976572
227,9.0,5.0,,31.779680042993277
228,7.0,5.0,,31.78246951685287
229,42.0,5.0,,31.78560908185318
230,33.0,5.0,,31.788167946971953
231,9.0,5.0,,31.790496127912775
232,42.0,5.0,,31.793292819987983
233,23.0,5.0,,31.796057055937126
234,36.0,5.0,,31.798281168797985
235,11.0,5.0,,31.801452364772558
236,40.0,5.0,,31.80431825784035
237,10.0,5.0,,31.80684728990309
238,41.0,5.0,,31.808782569831237
239,36.0,5.0,,31.811302477959543
240,47.0,5.0,,42.58739598398097
241,9.0,5.0,,42.590370097896084
242,10.0,5.0,,42.592960574897006
243,25.0,5.0,,42.59523159684613
244,29.0,5.0,,42.59705926687457
245,10.0,5.0,,42.59982007998042
246,32.0,5.0,,42.601721088867635
247,10.0,5.0,,42.604799755848944
248,15.0,5.0,,42.60731841996312
249,35.0,5.0,,42.60982185998
250,23.0,5.0,,42.61187341599725
251,38.0,5.0,,42.61456586490385
252,15.0,5.0,,42.61716058687307
253,5.0,5.0,,42.620181635953486
254,10.0,5.0,,42.623071854934096
255,7.0,5.0,,42.62537537398748
256,11.0,5.0,,42.62812381796539
257,10.0,5.0,,42.631040781969205
258,21.0,5.0,,42.63381894980557
259,13.0,5.0,,42.63577027292922
260,7.0,5.0,,42.6385025808122
261,8.0,5.0,,42.64196226699278
262,11.0,5.0,,42.6446375309024
263,7.0,5.0,,42.64696598285809
264,42.0,5.0,,42.6502076308243
265,41.0,5.0,,42.65401891293004
266,25.0,5.0,,42.65695409080945
267,40.0,5.0,,42.65860786777921
268,40.0,5.0,,42.66024396382272
269,25.0,5.0,,42.66212328081019
270,28.0,5.0,,42.664329930907115
271,47.0,5.0,,42.66776995686814
272,38.0,5.0,,42.670691694831476
273,24.0,5.0,,42.67316632391885
274,8.0,5.0,,42.67491328297183
275,7.0,5.0,,42.677051721839234
276,7.0,5.0,,42.68005036585964
277,7.0,5.0,,42.68368455697782
278,10.0,5.0,,42.686821477953345
279,42.0,5.0,,42.690009637968615
280,41.0,5.0,,42.693133232882246
281,7.0,5.0,,42.69570813793689
282,41.0,5.0,,42.69722456182353
283,7.0,5.0,,42.699471345869824
284,38.0,5.0,,42.70273172296584
285,41.0,5.0,,42.70554291293956
286,47.0,5.0,,42.70841977279633
287,7.0,5.0,,42.711955033941194
288,25.0,5.0,,42.715053599793464
289,7.0,5.0,,42.71825351496227
290,38.0,5.0,,42.721933762775734
291,36.0,5.0,,42.72583969286643
292,45.0,5.0,,42.72844256693497
293,35.0,5.0,,42.73122607683763
294,39.0,5.0,,42.734661566792056
295,7.0,5.0,,42.73717533797026
296,36.0,5.0,,42.73929907986894
297,13.0,5.0,,42.74248052784242
298,35.0,5.0,,42.74553104187362
299,7.0,5.0,,42.74779954296537
300,36.0,5.0,,42.750058909878135
301,9.0,5.0,,42.75322881177999
302,42.0,5.0,,42.75616919295862
303,32.0,5.0,,42.75893633882515
304,7.0,5.0,,42.762375292833894
305,36.0,5.0,,42.76533377193846
306,41.0,5.0,,42.76699590985663
307,9.0,5.0,,42.769310084870085
308,9.0,5.0,,42.77201166888699
309,26.0,5.0,,42.7743682959117
310,11.0,5.0,,42.777304691961035
311,32.0,5.0,,42.779589460929856
312,7.0,5.0,,42.78295957879163
313,7.0,5.0,,42.786183105781674
314,7.0,5.0,,42.78885799390264
315,26.0,5.0,,42.792103414889425
316,37.0,5.0,,42.79527152888477
317,41.0,5.0,,42.797262337990105
318,32.0,5.0,,42.79916051379405
319,42.0,5.0,,42.80161431687884
320,40.0,5.0,,52.33760241395794
321,35.0,5.0,,52.341480338945985
322,38.0,5.0,,52.344143494963646
323,11.0,5.0,,52.34682849980891
324,41.0,5.0,,52.349898057989776
325,9.0,5.0,,52.35230059991591
326,12.0,5.0,,52.35479533998296
327,9.0,5.0,,52.358155133901164
328,23.0,5.0,,52.36112956888974
329,12.0,5.0,,52.36426717485301
330,18.0,5.0,,52.36729567893781
331,41.0,5.0,,52.370366719784215
332,9.0,5.0,,52.37297340692021
333,12.0,5.0,,52.3747661949601
334,9.0,5.0,,52.37697646394372
335,14.0,5.0,,52.378955703927204
336,42.0,5.0,,52.38094020797871
337,9.0,5.0,,52.38342956476845
338,32.0,5.0,,52.385686706984416
339,43.0,5.0,,52.38825722085312
340,36.0,5.0,,52.39149724482559
341,41.0,5.0,,52.39477778994478
342,38.0,5.0,,52.397083065938205
343,9.0,5.0,,52.399347638944164
344,10.0,5.0,,52.40202545886859
345,28.0,5.0,,52.40482750697993
346,42.0,5.0,,52.40698953997344
347,39.0,5.0,,52.40933917183429
348,10.0,5.0,,52.41222101985477
349,10.0,5.0,,52.4149885638617
350,42.0,5.0,,52.417051256867126
351,16.0,5.0,,52.41979145887308
352,7.0,5.0,,52.422108959872276
353,11.0,5.0,,52.42391635896638
354,42.0,5.0,,52.42523130681366
355,9.0,5.0,,52.42742623994127
356,7.0,5.0,,52.42994758184068
357,7.0,5.0,,52.43229916598648
358,38.0,5.0,,52.435243042884395
359,46.0,5.0,,52.43792377295904
360,8.0,5.0,,52.44088805699721
361,38.0,5.0,,52.44320785487071
362,23.0,5.0,,52.44548899983056
363,7.0,5.0,,52.447349407942966
364,9.0,5.0,,52.449806024786085
365,10.0,5.0,,52.451541943941265
366,36.0,5.0,,52.45306065981276
367,42.0,5.0,,52.45452423184179
368,43.0,5.0,,52.45610961993225
369,26.0,5.0,,52.45781461894512
370,10.0,5.0,,52.45975026395172
371,7.0,5.0,,52.462880443781614
372,22.0,5.0,,52.46542695793323
373,42.0,5.0,,52.46793506294489
374,31.0,5.0,,52.47098992485553
375,45.0,5.0,,52.47356110182591
376,38.0,5.0,,52.47637383081019
377,11.0,5.0,,52.479152163956314
378,7.0,5.0,,52.482198571786284
379,36.0,5.0,,52.484979189932346
380,7.0,5.0,,52.48799469182268
381,25.0,5.0,,52.490445859963074
382,9.0,5.0,,52.49328498682007
383,7.0,5.0,,52.49629054381512
384,24.0,5.0,,52.49896680493839
385,36.0,5.0,,52.50198662187904
386,36.0,5.0,,52.504643238848075
387,41.0,5.0,,52.50704343081452
388,7.0,5.0,,52.50965976482257
389,10.0,5.0,,52.512657954823226
390,33.0,5.0,,52.5150135778822
391,42.0,5.0,,52.51731685898267
392,26.0,5.0,,52.51913845096715
393,28.0,5.0,,52.52164718485437
394,47.0,5.0,,52.52444666298106
395,38.0,5.0,,52.52751247398555
396,24.0,5.0,,52.53017401881516
397,32.0,5.0,,52.53300406783819
398,12.0,5.0,,52.535554840927944
399,9.0,5.0,,52.538185401819646
400,40.0,5.0,,62.432222364936024
401,12.0,5.0,,62.435121265938506
402,11.0,5.0,,62.437039284966886
403,45.0,5.0,,62.43878418277018
404,40.0,5.0,,62.440931213786826
405,35.0,5.0,,62.44334332598373
406,10.0,5.0,,62.44561496679671
