hash,energy,size
11e6ffa1bb54204b5a75d5d271244f53,42.0,49
1418567850656ee98024f12873336fdb,30.0,37
27cef81f39bac15b2c848f801478b1d5,29.0,36
b3659798d92b840ae3cb9b783c4445a6,24.0,31
b7b84d90009b566e4727d1e60a4cd9e6,40.0,47
f2a9c5ee8a7edb3fa697baa8dbe269f3,41.0,48
24723a7e96e083f67ae6e42bc8c3c440,41.0,48
f7e1f6980299c59618d0491dbaa724e9,19.0,26
b8ffcbb08b6e877f4e6e974a0bc31587,42.0,49
6f2ffd56df13fa073591752a2fee6c50,7.0,12
b068d9b3782a7fed8b690f2cb3d480a7,35.0,42
b0c3b3976c7258ea3c35cd199a6a99ab,41.0,48
8dc6bb9c9570352b41a34d933e13f86e,35.0,42
36c1d47398ea7ebb1e0309412944da4a,42.0,49
8c1118b5df72eed4730a2a8906aef79f,35.0,42
3334b2a5232be7657df63862a0462e3c,40.0,47
0d525a60783501797fa7d77ab9de441c,40.0,47
df5bf650caec894a15bb0cfb4f1166b7,42.0,49
a9b6d3d9e0cb61feefd87053071723a2,45.0,52
eaee37e5a283bac2d2e67aa43a78a6a7,41.0,48
3507a5f19af1aec08397a2e385978d2b,38.0,45
e35d5ace6ced78fbe6e25e494ebbcee3,38.0,45
0bd25a2f458d191af5a81a9002a53dad,36.0,43
57c9029be70e92d5a5534bd21823e1f4,28.0,35
85bd64c98aab30b7556e89744ba0284b,42.0,49
9ae1165e6e5d5999a3c388703cadc111,35.0,42
0bfcf9b6d90c591e1402961e9ee982a7,9.0,16
02726e3593a9ab0425c2f1452069eb0d,42.0,49
85dce7f9f306b8cbc6a507abffe3c9e9,36.0,43
9868844f8ee21f3aa7c78f2035810c23,28.0,35
ab687c8d93677be1dc46554156649bb5,9.0,14
8f49b486da579027b0a79c8183ab1375,11.0,16
6651eaa91008ef7f5575840906595a9f,42.0,49
2b8d8b48558eeebf2e8c633030500b2d,35.0,42
660dc4aa9ea54f4f335178d261a9a652,41.0,48
eed8bef7262670dc24607e0d3acaffcd,10.0,15
4e5162301d60aecae76075e41f02098c,22.0,29
18cc46b24ab545454c1ec763fb85f859,38.0,45
1e587ff741223137e2dbb4e7b9e3b850,5.0,12
cde497a09cfab98af035767a205a68d0,33.0,40
fb18f7d15a4f51d53976f3f68d93ce5a,41.0,48
5f5329f975900c66f3451f42de3c2b6e,28.0,35
ef81f42880a860102737e577c658ced2,7.0,12
ce022e1683478dccdb44115cae9fbedf,40.0,47
6e91c11270e6365ccd9580184a365264,15.0,20
417db2ceb9450e8d0c7711fb73842671,40.0,47
6fcad0f33782eb5388e429353df5ad58,41.0,48
16829089d55159c1a6f04f0a055f8468,44.0,51
5d4664d28eeec8150aa5adf61546093e,7.0,12
e44a0d9674fc805338fd110956612ffd,15.0,20
0ab42fc680a87a7d716e2456d0500d84,38.0,45
1103e6b86d320282d729724c08babb18,42.0,49
7adcba8e654d1e2fa247df1cc21b7aaa,40.0,47
0c9778c5155d90336a7eb6220a8433e5,7.0,12
f67b3c0e3798037b9cf1a71c471b0bd6,7.0,12
de47ea4075c363c526b40f0e5b13645a,7.0,12
9c9f0c9315c4b67d635f4a62fe1cbccf,31.0,38
407034f95edb0ddc3f2e0a756c340525,23.0,30
8111d20894dc0afbddf4804758e75c6e,7.0,12
aeec0eedbedc249a28f8a46882514f7d,24.0,31
769fca157ca26ee5887dd417b63bf239,8.0,13
8595b4e4eacab9d9bb9645fe9309d631,5.0,12
60677bac448fee1d699c7d321a28a41a,39.0,46
fc960a377477ee0ed585363028bc4b3d,40.0,47
72a7c1b263328571748e71a5c2862c33,15.0,20
8ed870fbd4f5f7f595cc9629c9c65560,41.0,48
d941ced2da43d785f50ea200f6a3f714,7.0,12
9452081833c74924fcb0d423a7b0a133,7.0,12
d4b2742126f305026e450ec8b60efb0b,8.0,13
c02741ae5bb46b69b144e22a73dfb0d1,22.0,29
2c299725f42972dd8e9a72e9d5ec0db5,7.0,12
0876344098e780fdb6882a2f21762b77,7.0,12
8f0f14e6bbfd4a640e1a5dfb32d69fc3,7.0,12
d8eb3ba2eea49d14a12450c2281ff2fc,23.0,30
b2cf96a7229735cfca8bed2a23f3781f,36.0,43
52510951e3901480e45e29455d207aeb,7.0,12
bf6096b88df8b70516895c290ae39235,36.0,43
95bf5871355dd862c7ce0ed542caae99,9.0,14
9f342a62e1af25bcf723c542a156dc80,29.0,36
5817ad6cb3641695603952e88a18c059,9.0,14
551bbbffce626bc6b913c0fd9a2b7c85,25.0,32
802e9b076f7d8d522748492addfd5923,7.0,12
37c859f794d12fac4fcc32c017493c46,28.0,35
6fd98ceb4c8a54c49b535be93c95b89a,8.0,13
a4d3c9e784ce6e79057a9ca8caa0755e,7.0,12
255cdc6beb5b4cc4418466f3c7711f1e,7.0,12
8fb30dfc09ca841ff507cb051ecf2bb6,27.0,34
5b4c40f65b7a718e1b6b929cd1323648,7.0,12
62d9ce0d34327f3cc38b047e970fe834,10.0,15
9a794624f504299904715b1943d1a314,10.0,15
8b915a509a5a73c39ea1b3051f8fc5af,7.0,12
14a885022383cf1e95c5472f70da0820,11.0,16
ac526e99718cf22afe55dc0d841e01fe,6.0,13
b1c1e31de4d34ecef7bacb44a6b49c1c,7.0,12
2d1c39f7b22ce5a86d8e8f1f0a415a72,7.0,12
386597f36ecd20680580877fa2d043a0,7.0,12
b7c48b59d51d62d1521db77f5b915d84,7.0,12
d4dadc17117574deb5d32539f9754451,38.0,45
9478038b3416ddc8f5dda4da11a17a80,42.0,49
39c84acdfd1f49bf4be6d8ac3c89e86f,11.0,16
5b1c8500193e022cb24e3fc616d8c876,8.0,15
0a9758eb796ef4e265d82b445006e4b9,7.0,12
eed7255913ee886c7c619fc1b59ecc35,41.0,48
fe0051ad0e5306569edce53523b903d1,10.0,17
c716dba7930a495ebd6287965b6290c2,42.0,49
8e2cc9bb7a9d0cb26f60c51ed58e788f,13.0,18
3fc2bab6174c25d1f2a0d084f0cddc07,40.0,47
e5474fa09ea50b8e4221ada657b41e76,27.0,34
c31253a274463fc1c462df4504f4e086,42.0,49
0f51faafc94ebc6ab4d559c43681d100,46.0,53
bfc2dd99d5ed80dd060c8a8269d09465,42.0,49
ed370374032607f5153a95f40f239a4f,14.0,19
fab58a541bf875d7131ee415afd1c083,24.0,31
ccf6b76d3a85a070298c93f61a4ddade,42.0,49
dda0a04fcea76339fcbfb69712313783,41.0,48
66a5a117dbaac64190be07e541850e69,38.0,45
74bbbec1bddee7ac80857cd98a201df4,9.0,14
317cb7f7d811c4fd1e6a82d39fd1ca01,7.0,12
4cd42e1d4c11abf6684ffcd9d0770605,13.0,18
8bf6e9e6d2b2de967418b743e204c9fe,11.0,16
b8dc944cc49b116a766672c3d4e8a1d3,28.0,35
dabdd64d0b02faa07c2ab8b0bf0388ef,42.0,49
c25b358cae8fe9543028a5388b52866d,13.0,18
3d12a5cd4236483caeb76ae9cd241270,41.0,48
e8a06ce77142b4c8d973d9cd74cd5464,40.0,47
4a7661737067a41053f97ad5d3e800b9,36.0,43
77fd6bc91c0fd44a60a95b02d1063b5f,46.0,53
e78e98fe94d0fb57f806d745bb177e21,26.0,33
22cc06e3e5b576c760f9aea790a6d30b,34.0,41
1ff5d73660820c7319d26a8e59e8c306,39.0,46
67ff77621284b9bba64626aef08ad7df,25.0,32
4d737c2c69182fee2efb49d5fe1fd90c,38.0,45
aa1fd5c8c0f427324364ac08ed10eaba,7.0,12
4a9a4d7489970ba8816d01af7b47d7b4,7.0,12
756d07f4e3c52fa58919595add7f21b4,9.0,16
49c648f4b0c622f6e113b0c235c57554,26.0,33
53c0e3c53656203af1a46bd648ed9699,29.0,36
94a77275fb60f35d4bf0c38dc0b21001,31.0,38
e8f28073b3a3a78ab1944d3cd6a8bcb1,45.0,52
3fb6a6e36ccc6a8eefb2ef39e9577fac,10.0,15
1df7e4bcbfac5fbbecc35d56de2015c7,24.0,31
a94e0b74fbfd86d8c24726dfbf65ab4e,26.0,33
00bde40a7087886b885653820676d15e,9.0,14
e992ccf4c2fceca51bc9b38df1669874,29.0,36
cd0cb6f7c45ceacc9c75a0dc13943c7e,7.0,12
d3a9a54fc6fa8a4a569cd310d7ba17ef,11.0,16
82f4d31ae65288d48dd5a3867247f325,11.0,16
7e1e6a41bb9fe719960d091c88435a46,7.0,12
97b00b98edbb1f14747c9e1666b8454f,42.0,49
53477dda432f06c72be76d9de74e3f2b,37.0,44
ca56a2e2ec13ef23a876270ffc3f32d9,9.0,14
ef5038b93c5cc3c172941d8d91501502,7.0,12
c8ce23ad3c7ae2acbf89df43aae31d5e,24.0,31
1480ce8bfe836066468dc6b26fb5bc1c,24.0,31
e7a09a65337f695ea62b7d96fdc6de29,32.0,39
70d250bc5e4d40a1265f309dd4c83998,23.0,32
dd6ae3021f2b59670019c6bc8d2ec5dc,13.0,18
762603707475c24e32b2c06c314d5bfe,11.0,16
62cc3a9bb997ef7d12efcda4759d3528,6.0,13
ae68068fcf7a9abea9dfdec6f8304355,13.0,18
ae647be89ed4376415452eab54447e01,42.0,49
8e9be42d5ed1d8a755c57e9edc3a2b2b,11.0,16
be8ecdb3bbd2e59fc14764bcad1ffe28,12.0,17
68101fa8d08fa10b8a5327414a790658,7.0,12
cf97384f340479f8e5c4a8be7f7aa410,21.0,30
db3b1b950ab980abc6a7027c8efb9f48,9.0,16
cbd3a1cc55db910adc953c3354aba7cf,7.0,12
b4ba8ba9fef74d7ff0a5cee23ccbb77b,6.0,13
6e268dcca56355922ebe5bfddde9d9fa,9.0,14
a37c9f23f5dd3a10ac62ec79a767ea8e,7.0,12
8193e6fa93fdf5c5b9edb324f35fb537,9.0,16
9ef5fe73846085aa43ec88c1c3d6abb4,10.0,15
4d64815b544b9d087f884ecc3b2d20d0,10.0,15
df922e37c48f227f74966214d2d08199,7.0,12
6cfb831fb86204fcef7a3026c428482b,7.0,12
382a526dc8ee7691086e3b24cd3aed50,11.0,16
92513263b77a8d0eea6aca1cf758db89,10.0,15
cec1a9577042a8df71a75a3ccfa85132,11.0,16
c70246bd3478335ddeedef051e62ca5a,24.0,31
9d3d54ca1b8c650d97ae18f74599add7,7.0,12
2342f6beb28d4a498e05482feb16023f,7.0,12
c19ed13947ba4a402b851b5f6f316841,12.0,19
2780a8d9102e01ffa64d365693437554,42.0,49
3bf1407795ab2c002237fec4b1f06799,40.0,47
c80907769af04546a5fb8fa261748db8,11.0,16
3c21e081919658d4f90a058325ceda64,7.0,12
3febae2f011cf37fbf4db65deff9a6cc,40.0,47
67cd527db1679893509a9b4f304f8862,11.0,16
4c331326bbd30bfc15382478cfa2d9bc,15.0,20
04602c1a5263a91d9c210509aef9e89e,36.0,43
9290cc271116e5abd75a0783fffe35cb,41.0,48
5f8e7575644c261a287a08b4ff44fec4,26.0,33
e11944bd3d3a1d37fa532603dc258b50,42.0,49
5e6f90a1422c4eb7e224bea7fff4c904,25.0,32
af2b6a8bc1c81e16e470689ca5bdd101,38.0,45
e4e335027d199e026e22eda309ef96c6,42.0,49
e9c9f5403dc6afd1800754845fd50073,18.0,23
9e2fccfe103dccc4af59c3dab8f7cd87,36.0,43
0eb482e85364dac7060d94226dd25fd2,7.0,12
06647444ec6656409e15791d00bad96b,7.0,12
749272f10e57bd07c3b5477a8a98f464,24.0,31
b684bb70e25939f208184b16c5f49ced,11.0,16
baf92ae5761ba4b3e32ba6454e582858,40.0,47
f9707c821c3f5fa7ad8e7cc831dfaf65,24.0,31
31ec74a9c38c5bf1e46b76006f748a9d,41.0,48
da7c6e4282dd6bfcf17a9835edcf4850,39.0,46
