episode,best_energy_in_episode,best_energy_so_far,num_new_graphs,wall_time_s
0,43.0,4.0,,13.670143851079047
1,15.0,4.0,,13.674657911993563
2,12.0,4.0,,13.676707095000893
3,10.0,4.0,,13.679071268066764
4,33.0,4.0,,13.680799561087042
5,6.0,4.0,,13.682152424938977
6,42.0,4.0,,13.684237839886919
7,21.0,4.0,,13.686491010012105
8,29.0,4.0,,13.688447619089857
9,22.0,4.0,,13.690740807913244
10,25.0,4.0,,13.692467370070517
11,10.0,4.0,,13.69382442208007
12,10.0,4.0,,13.695536454906687
13,13.0,4.0,,13.69791903696023
14,42.0,4.0,,13.701305903028697
15,25.0,4.0,,13.704385333927348
16,41.0,4.0,,13.707258105976507
17,14.0,4.0,,13.710343084065244
18,12.0,4.0,,13.71326231607236
19,40.0,4.0,,13.716001304099336
20,31.0,4.0,,13.71819100389257
21,31.0,4.0,,13.72008590796031
22,43.0,4.0,,13.722506121965125
23,37.0,4.0,,13.725440741982311
24,42.0,4.0,,13.728204788872972
25,10.0,4.0,,13.731409250060096
26,12.0,4.0,,13.733937378041446
27,41.0,4.0,,13.736455413978547
28,30.0,4.0,,13.738936345092952
29,19.0,4.0,,13.74257596489042
30,8.0,4.0,,13.7455125360284
31,32.0,4.0,,13.748762734932825
32,36.0,4.0,,13.751951979938895
33,8.0,4.0,,13.754042831016704
34,10.0,4.0,,13.756093771895394
35,25.0,4.0,,13.758419289952144
36,43.0,4.0,,13.76137452898547
37,43.0,4.0,,13.76463897107169
38,23.0,4.0,,13.767968473024666
39,8.0,4.0,,13.77151417103596
40,28.0,4.0,,13.774628127925098
41,42.0,4.0,,13.777056691935286
42,10.0,4.0,,13.77850767900236
43,45.0,4.0,,13.78009086404927
44,30.0,4.0,,13.781928261974826
45,33.0,4.0,,13.783889761893079
46,24.0,4.0,,13.786663380917162
47,19.0,4.0,,13.7887499849312
48,8.0,4.0,,13.791331354063004
49,41.0,4.0,,13.793507980881259
50,14.0,4.0,,13.796185307903215
51,43.0,4.0,,13.799347135936841
52,25.0,4.0,,13.802379006054252
53,6.0,4.0,,13.805206605000421
54,23.0,4.0,,13.807539294939488
55,11.0,4.0,,13.81091389991343
56,43.0,4.0,,13.813450628891587
57,6.0,4.0,,13.815640740096569
58,43.0,4.0,,13.81859696796164
59,22.0,4.0,,13.821128203999251
60,33.0,4.0,,13.822759222937748
61,42.0,4.0,,13.825444451067597
62,43.0,4.0,,13.82866805489175
63,8.0,4.0,,13.831831554882228
64,25.0,4.0,,13.835428057936952
65,10.0,4.0,,13.83802689705044
66,43.0,4.0,,13.84110686997883
67,39.0,4.0,,13.844047223916277
68,8.0,4.0,,13.847598413005471
69,28.0,4.0,,13.850749314995483
70,10.0,4.0,,13.853536621900275
