episode,best_energy_in_episode,best_energy_so_far,num_new_graphs,wall_time_s
0,5.0,5.0,,5.661951222922653
1,5.0,5.0,,5.6712068158667535
2,20.0,5.0,,5.673283898970112
3,20.0,5.0,,5.6749715600162745
4,8.0,5.0,,5.676612691022456
5,5.0,5.0,,5.678287310991436
6,20.0,5.0,,5.679857128998265
7,10.0,5.0,,5.6816957029514015
8,8.0,5.0,,5.683311834931374
9,9.0,5.0,,5.6850158530287445
10,9.0,5.0,,5.686748255044222
11,5.0,5.0,,5.68830703292042
12,8.0,5.0,,5.689852814888582
13,13.0,5.0,,5.691582093015313
14,5.0,5.0,,5.6932765550445765
15,18.0,5.0,,5.694655067985877
16,17.0,5.0,,5.696080904919654
17,20.0,5.0,,5.697619907092303
18,7.0,5.0,,5.699142471887171
19,17.0,5.0,,5.700351225910708
20,20.0,5.0,,5.702059069881216
21,15.0,5.0,,5.70353306690231
22,20.0,5.0,,5.704985877033323
23,13.0,5.0,,5.7069824589416385
24,5.0,5.0,,5.709254399873316
25,16.0,5.0,,5.711584450909868
26,5.0,5.0,,5.7139573530294
27,13.0,5.0,,5.715995134087279
28,7.0,5.0,,5.71858914103359
29,5.0,5.0,,5.720082422951236
30,10.0,5.0,,5.7218628448899835
31,5.0,5.0,,5.723825433989987
32,9.0,5.0,,5.725903301034123
33,20.0,5.0,,5.727865930879489
34,16.0,5.0,,5.730289582861587
35,13.0,5.0,,5.733123099897057
36,16.0,5.0,,5.735635466873646
37,16.0,5.0,,5.737834231927991
38,20.0,5.0,,5.739722358062863
39,5.0,5.0,,5.741154382005334
40,16.0,5.0,,5.743589271092787
41,9.0,5.0,,5.746355053968728
42,5.0,5.0,,5.74905798304826
43,8.0,5.0,,5.751408996991813
44,9.0,5.0,,5.754116493975744
45,17.0,5.0,,5.757329365937039
46,20.0,5.0,,5.759935288922861
47,18.0,5.0,,5.762007035082206
48,5.0,5.0,,5.763970905914903
49,9.0,5.0,,5.766861943993717
50,10.0,5.0,,5.769937447970733
51,7.0,5.0,,5.772830544039607
52,5.0,5.0,,5.775207143044099
53,20.0,5.0,,5.777061200933531
54,5.0,5.0,,5.779435300966725
55,7.0,5.0,,5.781910196878016
56,9.0,5.0,,5.784781092079356
57,15.0,5.0,,5.787859007017687
58,5.0,5.0,,5.7903001920785755
59,8.0,5.0,,5.792536745080724
60,7.0,5.0,,5.794786830898374
61,15.0,5.0,,5.797937223920599
62,9.0,5.0,,5.800877697998658
63,9.0,5.0,,5.803456061054021
64,15.0,5.0,,5.806307658087462
65,13.0,5.0,,5.808941568015143
66,13.0,5.0,,5.810742165893316
67,19.0,5.0,,5.812399549875408
68,8.0,5.0,,5.814455755986273
69,10.0,5.0,,5.817046877928078
70,10.0,5.0,,5.819417232880369
71,20.0,5.0,,5.821134204044938
72,5.0,5.0,,5.823280345881358
73,15.0,5.0,,5.826391702983528
74,5.0,5.0,,5.829791276017204
75,16.0,5.0,,5.832238181959838
76,9.0,5.0,,5.834569156868383
77,8.0,5.0,,5.83741008490324
78,8.0,5.0,,5.840112400939688
79,20.0,5.0,,5.8421204960905015
80,8.0,5.0,,10.307577783009037
81,20.0,5.0,,10.309721960918978
82,13.0,5.0,,10.311071551870555
83,15.0,5.0,,10.312552174087614
84,5.0,5.0,,10.314563550055027
85,9.0,5.0,,10.316450549988076
86,15.0,5.0,,10.318334430921823
87,17.0,5.0,,10.320095982868224
88,14.0,5.0,,10.321955282008275
89,17.0,5.0,,10.323518346995115
90,17.0,5.0,,10.324752158951014
91,8.0,5.0,,10.326475074980408
92,10.0,5.0,,10.328502700896934
93,9.0,5.0,,10.330378476064652
94,7.0,5.0,,10.332441333914176
95,20.0,5.0,,10.334121041931212
96,5.0,5.0,,10.335832491051406
97,6.0,5.0,,10.337753951083869
98,9.0,5.0,,10.33954401803203
99,13.0,5.0,,10.341039065970108
100,15.0,5.0,,10.342837557895109
101,13.0,5.0,,10.344254965893924
102,19.0,5.0,,10.345632788026705
103,15.0,5.0,,10.347420240053907
104,14.0,5.0,,10.349759361939505
105,19.0,5.0,,10.351478927070275
106,5.0,5.0,,10.353130497969687
107,9.0,5.0,,10.354995142901316
108,6.0,5.0,,10.356823147041723
109,19.0,5.0,,10.358200093964115
110,17.0,5.0,,10.359770607901737
111,20.0,5.0,,10.361740357009694
112,20.0,5.0,,10.364261575043201
113,9.0,5.0,,10.3664943149779
114,7.0,5.0,,10.36883501894772
115,10.0,5.0,,10.370956931030378
116,10.0,5.0,,10.373338795965537
117,10.0,5.0,,10.37584806792438
118,5.0,5.0,,10.378535019000992
119,8.0,5.0,,10.380554680945352
120,8.0,5.0,,10.382949369959533
121,7.0,5.0,,10.385423843981698
122,7.0,5.0,,10.387656623963267
123,20.0,5.0,,10.390170018887147
124,6.0,5.0,,10.392721540061757
125,20.0,5.0,,10.395489132031798
126,10.0,5.0,,10.397714697988704
127,8.0,5.0,,10.399319333955646
128,17.0,5.0,,10.401266155997291
129,14.0,5.0,,10.403645470971242
130,9.0,5.0,,10.405857207952067
131,8.0,5.0,,10.408151892013848
132,8.0,5.0,,10.409947126870975
133,10.0,5.0,,10.41175740188919
134,8.0,5.0,,10.41387636703439
135,5.0,5.0,,10.415880386950448
136,17.0,5.0,,10.417848651995882
137,15.0,5.0,,10.420286613050848
138,10.0,5.0,,10.422919780015945
139,13.0,5.0,,10.42537440895103
