hash,energy,size
68417d1a85d49a805f3f6bc0efe964e1,20.0,26
b54bd49f30068cb8caab0030d3ca210d,15.0,21
89f39494c3f5bbca1b7a7537e53ba7b3,5.0,9
199ebd1c95bfef3b2b31671bd16b3761,5.0,9
6c760541c8d6d2508d617541acb685e2,6.0,10
672c3f9092e37b566ef9a0632005bac2,16.0,22
5b7620deee652887bf6f0afce4584946,16.0,22
405861a8dbba0d28b8dc278fa57fadce,13.0,19
a49fa2cafce7748df631d3935d8a82af,20.0,26
498a9089ae50ff74843710cf56ef7886,6.0,12
8d6295b1699132e877478cbc637ac261,5.0,11
143c541e9187ad4868425099deb80e14,17.0,21
1285d4f8d643cdc85d5c3d440ec16a6c,8.0,14
724634c94337571b267838664e68d0df,15.0,21
d8fb27540515d77e19856c82b08908fa,20.0,24
830cbc6ace8942b5e45d1788453b8002,5.0,11
e3559e485b718b75fc7161e9f7a8509e,14.0,18
34a982e6240acd602445ca59fe0bc558,19.0,25
a426ac46c50ae597619853c803e1ff58,20.0,26
d544225e648f57131e3c52c6c132f448,19.0,23
8d6c717774a47bb4c5afbc850c254666,7.0,11
4f3389d9c61dad0a9e2b460a4fa355eb,15.0,19
bb35e8e242d45356d25881853a9422d0,8.0,12
aafb7a7d37ef2aedbf1994d704747a1c,9.0,13
b74b4fd56578eadd861c6487e9ba0d5d,7.0,11
41372461cda39e79a7b2399833eb4d8e,7.0,11
b9ca967f22a62976986001af59f31eeb,5.0,11
7766eb0c82b3ed8ebe9afaa9d2522d8f,10.0,14
4075854fc868751de24e7a47e75bf232,8.0,12
602e60fa967a884eadd5dcfbe4f5b111,18.0,24
0cacb0e48f32d626c8073c8ee934b69e,15.0,21
277539949275ecd5d58682e1bc73524e,8.0,12
2cee3c8bcc77832a552e2e3cd8e99a8b,10.0,14
22660d31077b9652b50e97ff9ef73a80,8.0,12
13ce2a84ad2fdcccd60e2f9fffe22a27,9.0,13
03cdf34dad8875313d5177954256fa05,13.0,19
9f99bbd669295a942395b93b35cdc500,9.0,13
2b98b1fc1593dec4153189dc6d1abb60,9.0,13
f276f407afcb417bfd459c131148be5e,13.0,19
0271424bc8e8470f204e566635f208c5,7.0,11
148369b0f45934a53034164bae179553,17.0,23
134231da82d0667681a21c66c9900b54,20.0,26
b064c470ccb93718eb5de3ee19c741a5,11.0,19
