episode,best_energy_in_episode,best_energy_so_far,num_new_graphs,wall_time_s
0,9.0,5.0,,9.307106900960207
1,5.0,5.0,,9.310769757954404
2,6.0,5.0,,9.312427344033495
3,7.0,5.0,,9.313652512151748
4,12.0,5.0,,9.314947636099532
5,13.0,5.0,,9.316276150057092
6,7.0,5.0,,9.317722724983469
7,7.0,5.0,,9.319160901010036
8,5.0,5.0,,9.320434550056234
9,13.0,5.0,,9.321800820995122
10,5.0,5.0,,9.323241643141955
11,12.0,5.0,,9.324472540989518
12,7.0,5.0,,9.325949408113956
13,9.0,5.0,,9.328013143036515
14,6.0,5.0,,9.33006805414334
15,9.0,5.0,,9.33156457496807
16,6.0,5.0,,9.33270177198574
17,10.0,5.0,,9.334199731005356
18,9.0,5.0,,9.33581804507412
19,6.0,5.0,,9.33757167099975
20,10.0,5.0,,9.339653840987012
21,10.0,5.0,,9.341465990059078
22,10.0,5.0,,9.343683147104457
23,7.0,5.0,,9.345200076000765
24,9.0,5.0,,9.346781654050574
25,7.0,5.0,,9.348918000003323
26,13.0,5.0,,9.351118820952252
27,7.0,5.0,,9.353098497958854
28,13.0,5.0,,9.354966257931665
29,12.0,5.0,,9.356033687014133
30,10.0,5.0,,9.357083335053176
31,14.0,5.0,,9.358729508006945
32,13.0,5.0,,9.360230250051245
33,12.0,5.0,,9.36229146597907
34,14.0,5.0,,9.364559275098145
35,12.0,5.0,,9.366265465971082
36,12.0,5.0,,9.368890841957182
37,13.0,5.0,,9.371882820967585
38,14.0,5.0,,9.375039233127609
39,13.0,5.0,,9.376975707011297
40,13.0,5.0,,9.379348552087322
41,9.0,5.0,,9.381982503924519
42,10.0,5.0,,9.385106647154316
43,10.0,5.0,,9.38683767314069
44,7.0,5.0,,9.38897235901095
45,6.0,5.0,,9.391420829109848
46,10.0,5.0,,9.393357773078606
47,5.0,5.0,,9.395450274925679
48,6.0,5.0,,9.397775619057938
49,10.0,5.0,,9.399473597062752
50,5.0,5.0,,9.40162368514575
51,9.0,5.0,,9.403863791143522
52,7.0,5.0,,9.405676512978971
53,12.0,5.0,,9.407858707010746
54,13.0,5.0,,9.410381461959332
55,6.0,5.0,,9.41228225803934
56,7.0,5.0,,9.414620473980904
57,13.0,5.0,,9.416914561996236
58,6.0,5.0,,9.42019696906209
59,11.0,5.0,,9.422574611147866
60,13.0,5.0,,9.425119993044063
61,12.0,5.0,,9.427428560098633
62,9.0,5.0,,9.429297931026667
63,7.0,5.0,,9.431105470983312
64,10.0,5.0,,9.43306927010417
65,10.0,5.0,,9.435030857101083
66,9.0,5.0,,9.437268699984998
67,14.0,5.0,,9.43942434201017
68,11.0,5.0,,9.442338726948947
69,7.0,5.0,,9.444810152053833
70,10.0,5.0,,9.447994968155399
71,9.0,5.0,,9.450088802026585
72,5.0,5.0,,9.45173520105891
73,9.0,5.0,,9.453643610002473
74,7.0,5.0,,9.454750368138775
75,9.0,5.0,,9.455857877153903
76,12.0,5.0,,9.457426242996007
77,12.0,5.0,,9.459177006036043
78,9.0,5.0,,9.461325434036553
79,11.0,5.0,,9.46390318009071
80,9.0,5.0,,13.570605884073302
81,10.0,5.0,,13.572848545154557
82,9.0,5.0,,13.574085069121793
83,9.0,5.0,,13.575582432094961
84,9.0,5.0,,13.576746623963118
85,5.0,5.0,,13.578208616003394
86,9.0,5.0,,13.580275380983949
87,5.0,5.0,,13.581784836947918
88,9.0,5.0,,13.583265161141753
89,9.0,5.0,,13.585450678132474
90,9.0,5.0,,13.587282899068668
91,9.0,5.0,,13.588632920058444
92,10.0,5.0,,13.590265789069235
93,12.0,5.0,,13.592052194057032
94,13.0,5.0,,13.593759784009308
95,6.0,5.0,,13.595793293090537
96,13.0,5.0,,13.597368316957727
97,9.0,5.0,,13.599403280997649
98,13.0,5.0,,13.601288125151768
99,10.0,5.0,,13.602939232019708
100,7.0,5.0,,13.604979587020352
101,9.0,5.0,,13.606846346985549
102,10.0,5.0,,13.609582039993256
103,13.0,5.0,,13.611967782955617
104,12.0,5.0,,13.613947306061164
105,9.0,5.0,,13.616252301027998
106,11.0,5.0,,13.618051344994456
107,9.0,5.0,,13.61981728603132
108,13.0,5.0,,13.622104199137539
109,7.0,5.0,,13.623864240944386
110,9.0,5.0,,13.62532225693576
111,11.0,5.0,,13.626946153119206
112,9.0,5.0,,13.628939124988392
113,9.0,5.0,,13.631239888025448
114,12.0,5.0,,13.633088537026197
115,7.0,5.0,,13.635138326091692
116,12.0,5.0,,13.638123080134392
117,14.0,5.0,,13.641070615965873
118,7.0,5.0,,13.643937516957521
119,9.0,5.0,,13.64628686197102
120,10.0,5.0,,13.648593774996698
121,9.0,5.0,,13.651153896935284
122,9.0,5.0,,13.653364612953737
123,9.0,5.0,,13.655321523081511
124,10.0,5.0,,13.657506173010916
125,12.0,5.0,,13.659630549140275
126,7.0,5.0,,13.661973375128582
127,13.0,5.0,,13.664591897046193
128,9.0,5.0,,13.665733124129474
129,9.0,5.0,,13.66736527113244
130,7.0,5.0,,13.669473276939243
131,9.0,5.0,,13.672304632142186
132,13.0,5.0,,13.674412925029173
133,13.0,5.0,,13.67616784805432
134,9.0,5.0,,13.678381306119263
135,10.0,5.0,,13.680546971969306
136,9.0,5.0,,13.682906840927899
137,8.0,5.0,,13.685228229966015
138,9.0,5.0,,13.68794713797979
139,14.0,5.0,,13.690383416134864
140,17.0,5.0,,13.69285543402657
141,13.0,5.0,,13.695140737108886
142,10.0,5.0,,13.697410481981933
143,13.0,5.0,,13.699634769931436
144,7.0,5.0,,13.7017813581042
145,17.0,5.0,,13.704221221152693
146,13.0,5.0,,13.706440549110994
147,12.0,5.0,,13.708817114122212
148,13.0,5.0,,13.711532349931076
149,14.0,5.0,,13.714192748069763
150,13.0,5.0,,13.716962481150404
151,6.0,5.0,,13.719305894104764
152,17.0,5.0,,13.721533190924674
153,7.0,5.0,,13.72365097515285
154,13.0,5.0,,13.72521306714043
155,8.0,5.0,,13.726790025131777
156,8.0,5.0,,13.728429886046797
157,7.0,5.0,,13.730209680041298
158,7.0,5.0,,13.732950645964593
159,8.0,5.0,,13.735314446967095
160,12.0,5.0,,17.816964795114473
161,9.0,5.0,,17.819772421149537
162,9.0,5.0,,17.821662921924144
163,11.0,5.0,,17.823080219095573
164,11.0,5.0,,17.824165866943076
165,9.0,5.0,,17.825479827122763
166,8.0,5.0,,17.8274177480489
167,9.0,5.0,,17.829062312142923
168,10.0,5.0,,17.83052019798197
169,7.0,5.0,,17.831913592061028
170,11.0,5.0,,17.83307212800719
171,9.0,5.0,,17.834573866100982
172,11.0,5.0,,17.835882590152323
173,10.0,5.0,,17.837553633144125
174,10.0,5.0,,17.839261231012642
175,9.0,5.0,,17.84037322201766
176,7.0,5.0,,17.84164584497921
177,9.0,5.0,,17.843094438081607
178,9.0,5.0,,17.844764640089124
179,7.0,5.0,,17.84674217295833
180,9.0,5.0,,17.849645978072658
181,13.0,5.0,,17.852229003096
182,12.0,5.0,,17.85513566993177
183,13.0,5.0,,17.856905089924112
184,9.0,5.0,,17.85945335193537
185,11.0,5.0,,17.861992238089442
186,7.0,5.0,,17.864184017060325
187,5.0,5.0,,17.86562630208209
188,10.0,5.0,,17.868394408142194
189,9.0,5.0,,17.870965334121138
190,12.0,5.0,,17.872794189024717
191,9.0,5.0,,17.874768387991935
192,8.0,5.0,,17.877067977096885
193,5.0,5.0,,17.87947061099112
194,9.0,5.0,,17.88201012602076
