hash,energy,size
5c05bcaa8b7eb075f63587544b4ac90a,13.0,19
b4949130de8d3533f8ba12c4d79561b9,7.0,11
db4c9ca6e3a0769fda6a5048dccf7e41,5.0,9
d4beb67883f75aad57b67d1901dba08a,13.0,19
89cfe2be7529fda91210c9a701682d28,13.0,19
5e9c738a4d3e8bb76918b56cbceb32fa,14.0,18
78cebb0dc13f6f236ab2b54daa399fae,12.0,18
f5d07b5e393660dd0530c87cfd34e496,12.0,18
587387f18399957439886c39f354aa49,13.0,17
2e6e5c6ed71f8953114981625ad7eaef,12.0,18
39ac53962824f5a13a11f3d7a45d2ea7,6.0,12
9fb4305bb9ff31adc6b0cdbd55bb21ab,9.0,13
61122b45360bae27705da6b7c35060f7,11.0,15
194c9fc0ba0964ef3bde95d7c7c65930,7.0,11
cb6edee07d67676b55a049e28c083a1f,10.0,14
3e6a40041bfb8eab94c8f2237157a7a0,7.0,11
4a81e7bdd6c21ab407c2998f48a9cffd,6.0,12
8e152340a220b12202f34ec00db2bfef,10.0,14
05b1eab37acf93afe90195c37784e4ca,7.0,11
4c60b90392742794b69259fddd077ede,10.0,14
029b3f9aed82c4dbc4d33319c94f9ba3,9.0,13
a82f146690f044e90bffc2135723e2a0,9.0,13
b96ba5585dfe6397589b400dccb4aebd,5.0,9
960fc0e61d351bcb936f45c0f6174cd5,9.0,13
9c109127993416635c754fad84aa02f2,9.0,13
a0e0cdf9d6f283304162d62556c55a0b,9.0,15
d7738501349b7e7b7e2d19d91c642c83,17.0,21
ab220dc6c44b72fd7da918568f9367ed,9.0,13
15f6cfa408112850f14c98a570e128d9,11.0,15
0d86801556192e9f26299a9d9524f41f,7.0,11
de4b004958f0a7e6f31ba1be4af75e94,9.0,13
d5a21d7bec8e0b17ef888736f82bf13f,8.0,12
5c22f0395ed59a26df1f0e87e34a8619,9.0,13
d12a3750e35b4c245c8210969ac36875,9.0,13
62377fb3eb3a06e39ac985d8a9be8909,12.0,16
56cb677ef2978e2a4b907ba178a848cd,9.0,13
9db71b1dff4aef5b7cac6acd790ccca2,9.0,13
75c351f4f014476db8e8ec877b538ca6,10.0,14
a8ce7b5977ed93b17f5196632d9e52aa,8.0,12
0c3ed18236834bd7f976cf4bcc0eeff4,9.0,15
9abffb06c0627507eac23f5e07163864,12.0,16
80b5d47fd0a01bff0a8148d54a1c59e3,11.0,15
5ef718a45184ef42a29c8af39ce611d8,9.0,13
5298d8e17111ef9ab9c0cfdd01bd7967,6.0,12
766251651595e8c65e164e19440e4626,8.0,12
37accff2a29cafe35d3b29c816417bf8,10.0,14
bcb2592a6f6fc4d9d707c92aba47a298,10.0,14
c23d08d38dbcc26be88545306962a2c2,11.0,15
9dba245f8e5cda6a31fc4697c0c1185b,10.0,14
9fc2d7c80d82dceea6c5bd34dda40ee0,9.0,13
4d61254bc3a10d8970b167badaf70080,8.0,12
ce25ae8096b1eaa59c35890233bf13da,9.0,13
7cb381e162f757a0c5a1970dd8dba1c0,10.0,14
c606ce0d3ff3fa84c40a7cb08d3523a9,9.0,13
a993c397f06b657e51e5739edef17052,10.0,14
4d2ffa7a48db3540303d9b7428333370,10.0,14
cc75d0343b22e087121fcb7858cbce0e,10.0,14
c231289209b350921157c3609257d016,8.0,12
40eadb13a6eb9206a86c436c261875e7,6.0,10
ab617411a3307269af2dbe99b145f9c0,9.0,13
0d8ca4365a38c2ccf00158adaeba4502,12.0,16
7bf59bc5818d9027457b330f5de443b7,5.0,9
dc028da3de772764ed49750385b4c582,9.0,13
cd26eda516ad09f384c0d3f10ca98811,10.0,14
184c255f1d2a6847ebab6fc76d6f0fc1,8.0,12
aa9e1b99c603b3b69e4814f695f8eca9,8.0,12
b9feaae185bdc0ba5196223b3045a04f,9.0,13
9468db967bf67d1024df054d151528eb,9.0,13
1bf23ef6639eb31d4e8c3f7d03fba879,9.0,13
036ba675d41cafb63c637e449985abbf,9.0,13
c0ec899fdedb57372b65b01a32055702,9.0,13
810a6805d9fa3b885caec0b65d88e45b,9.0,13
bb680f856aceac376fef01ab7a81471e,5.0,11
c1da160a770282454bbd0ccb819cac07,7.0,11
3ea9888a2dab4cc8be6ed934d6ac3f29,9.0,13
3746d1f8fd5b85dd5dd0965769d89973,10.0,16
b2a118db794a8033494e4246e6ae0bd1,10.0,14
efaa8cfc2952480ed78a8ae84ed4775a,8.0,12
92a0ebfb99ae40f7b22fb7c192457778,9.0,13
