episode,best_energy_in_episode,best_energy_so_far,num_new_graphs,wall_time_s
0,21.0,5.0,,5.742624680045992
1,21.0,5.0,,5.7473968281410635
2,21.0,5.0,,5.749560822034255
3,18.0,5.0,,5.751081014052033
4,5.0,5.0,,5.752899765037
5,6.0,5.0,,5.754685559077188
6,21.0,5.0,,5.756371076218784
7,8.0,5.0,,5.758149880217388
8,20.0,5.0,,5.759880533209071
9,14.0,5.0,,5.761288176989183
10,10.0,5.0,,5.762974390061572
11,21.0,5.0,,5.76481886417605
12,8.0,5.0,,5.767461889190599
13,20.0,5.0,,5.769758996088058
14,5.0,5.0,,5.771759242052212
15,7.0,5.0,,5.773633645148948
16,21.0,5.0,,5.775465947110206
17,20.0,5.0,,5.777756268158555
18,19.0,5.0,,5.7810291110072285
19,9.0,5.0,,5.784179584123194
20,20.0,5.0,,5.787204479100183
21,20.0,5.0,,5.789917606161907
22,18.0,5.0,,5.792570416117087
23,9.0,5.0,,5.794818818103522
24,9.0,5.0,,5.798165951156989
25,18.0,5.0,,5.801103890175
26,6.0,5.0,,5.802932846127078
27,9.0,5.0,,5.805831760168076
28,5.0,5.0,,5.809565723175183
29,20.0,5.0,,5.812374409055337
30,9.0,5.0,,5.815039674052969
31,21.0,5.0,,5.818212658166885
32,10.0,5.0,,5.8216231390833855
33,21.0,5.0,,5.8246174291707575
34,18.0,5.0,,5.827662497060373
35,7.0,5.0,,5.831143107032403
36,21.0,5.0,,5.834151643095538
37,9.0,5.0,,5.837005336070433
38,20.0,5.0,,5.840403648093343
39,9.0,5.0,,5.843604667112231
40,20.0,5.0,,5.846040004165843
41,21.0,5.0,,5.849012547172606
42,6.0,5.0,,5.851637599989772
43,8.0,5.0,,5.8540525150019675
44,14.0,5.0,,5.856835681013763
45,21.0,5.0,,5.859491354087368
46,14.0,5.0,,5.862316595157608
47,7.0,5.0,,5.864764638012275
48,5.0,5.0,,5.867418559035286
49,9.0,5.0,,5.870023642200977
50,9.0,5.0,,5.872272185049951
51,9.0,5.0,,5.874339995207265
52,6.0,5.0,,5.877229996025562
53,20.0,5.0,,5.879958370001987
54,12.0,5.0,,5.883065581088886
55,9.0,5.0,,5.88517392007634
56,10.0,5.0,,5.887421786086634
57,14.0,5.0,,5.8902181182056665
58,9.0,5.0,,5.89396302215755
59,19.0,5.0,,5.897207682020962
60,9.0,5.0,,5.899971869075671
61,7.0,5.0,,5.903074477100745
62,9.0,5.0,,5.905440614093095
63,5.0,5.0,,5.908238188130781
64,15.0,5.0,,5.9109703241847456
65,21.0,5.0,,5.913536651991308
66,20.0,5.0,,5.915507218101993
67,19.0,5.0,,5.917863480048254
68,21.0,5.0,,5.920951803214848
69,9.0,5.0,,5.924298138124868
70,18.0,5.0,,5.92686849902384
71,20.0,5.0,,5.92902850615792
72,24.0,5.0,,5.932005695067346
73,8.0,5.0,,5.934580324217677
74,5.0,5.0,,5.937159997178242
75,9.0,5.0,,5.939578758087009
76,9.0,5.0,,5.942099025007337
77,8.0,5.0,,5.944946052040905
78,8.0,5.0,,5.948005934013054
79,9.0,5.0,,5.950715332990512
80,5.0,5.0,,10.475429827114567
81,20.0,5.0,,10.478764535160735
82,10.0,5.0,,10.481776105007157
83,5.0,5.0,,10.48367476509884
84,21.0,5.0,,10.485203200019896
85,10.0,5.0,,10.487020754022524
86,18.0,5.0,,10.488808843074366
87,21.0,5.0,,10.490333885187283
88,18.0,5.0,,10.491809101076797
89,20.0,5.0,,10.493069851072505
90,21.0,5.0,,10.494620730169117
91,14.0,5.0,,10.496768424054608
92,8.0,5.0,,10.499475541058928
93,16.0,5.0,,10.50142665905878
94,9.0,5.0,,10.503297884017229
95,21.0,5.0,,10.505067047197372
96,19.0,5.0,,10.506558737019077
97,21.0,5.0,,10.508122894214466
98,20.0,5.0,,10.509757473133504
99,10.0,5.0,,10.511466450057924
100,9.0,5.0,,10.512739308178425
101,20.0,5.0,,10.514155781129375
102,20.0,5.0,,10.515954134054482
103,8.0,5.0,,10.518330434104428
104,21.0,5.0,,10.520340657094494
105,21.0,5.0,,10.522869799053296
106,5.0,5.0,,10.524601905141026
107,9.0,5.0,,10.527701578103006
108,19.0,5.0,,10.531278158072382
109,20.0,5.0,,10.533952101133764
110,9.0,5.0,,10.536301001207903
111,19.0,5.0,,10.539070600178093
112,13.0,5.0,,10.541913058143109
113,15.0,5.0,,10.54409893299453
114,24.0,5.0,,10.54703079117462
115,8.0,5.0,,10.549798160092905
116,9.0,5.0,,10.551526102004573
117,21.0,5.0,,10.553703586105257
118,8.0,5.0,,10.557041684165597
119,18.0,5.0,,10.560419515008107
120,5.0,5.0,,10.563304770039394
121,10.0,5.0,,10.565812600078061
122,19.0,5.0,,10.567659710068256
123,21.0,5.0,,10.569908885052428
124,21.0,5.0,,10.573008258128539
125,21.0,5.0,,10.57597888307646
126,18.0,5.0,,10.578816983150318
127,21.0,5.0,,10.581304705003276
128,9.0,5.0,,10.584172452101484
129,5.0,5.0,,10.587390341097489
130,9.0,5.0,,10.59016516013071
131,9.0,5.0,,10.593129225075245
132,14.0,5.0,,10.595332348020747
133,8.0,5.0,,10.598317014053464
134,8.0,5.0,,10.601360789034516
135,19.0,5.0,,10.603603147203103
136,9.0,5.0,,10.605431273113936
137,21.0,5.0,,10.608363140141591
138,21.0,5.0,,10.611904413206503
139,9.0,5.0,,10.614398333011195
140,5.0,5.0,,10.616863620001823
141,5.0,5.0,,10.620518057141453
142,21.0,5.0,,10.62274539610371
143,20.0,5.0,,10.625148753169924
144,9.0,5.0,,10.628831954207271
145,18.0,5.0,,10.632199792191386
146,9.0,5.0,,10.634468433214352
147,18.0,5.0,,10.637412654003128
148,19.0,5.0,,10.64042701316066
149,15.0,5.0,,10.643204405205324
150,19.0,5.0,,10.645697474014014
151,9.0,5.0,,10.64748119818978
152,18.0,5.0,,10.649494047043845
153,10.0,5.0,,10.652352888137102
154,9.0,5.0,,10.65486865513958
155,11.0,5.0,,10.657245848095044
156,8.0,5.0,,10.659273571101949
157,8.0,5.0,,10.662223020102829
158,13.0,5.0,,10.664541996084154
159,7.0,5.0,,10.666988493176177
160,9.0,5.0,,15.52954651019536
161,5.0,5.0,,15.5319763161242
162,5.0,5.0,,15.533874876098707
163,15.0,5.0,,15.536205214215443
164,8.0,5.0,,15.539174857083708
165,18.0,5.0,,15.541625780053437
166,8.0,5.0,,15.542952148010954
167,8.0,5.0,,15.544589197030291
168,20.0,5.0,,15.546592431142926
169,18.0,5.0,,15.549437748035416
170,20.0,5.0,,15.552073092199862
171,19.0,5.0,,15.554532835027203
172,21.0,5.0,,15.557565716095269
173,24.0,5.0,,15.560161582194269
174,11.0,5.0,,15.562784742098302
175,8.0,5.0,,15.564906080020592
176,23.0,5.0,,15.56698353914544
177,21.0,5.0,,15.568793439073488
178,18.0,5.0,,15.570613792166114
179,9.0,5.0,,15.572220634203404
