hash,energy,size
ac3d5293eae080f08c8d9b93a5b9f0d7,21.0,27
199ebd1c95bfef3b2b31671bd16b3761,5.0,9
9c5328f71cb96a8eecb7ffd4d420fd84,12.0,20
6c760541c8d6d2508d617541acb685e2,6.0,10
89f39494c3f5bbca1b7a7537e53ba7b3,5.0,9
b5ae12dbcb9b7e28a996fd11550206dc,21.0,27
90248d44f5008ad4ace8ae1a7918afec,21.0,27
2718ea22fdc33e2fdfc715ebac3336ec,9.0,15
c12fe3a0813c52b5cf7bf3808ceec5ca,18.0,24
c9eebda017c9b25c3a9f7008f5966fbb,20.0,26
ba23e1ae73659f5ee2462997708ef70a,20.0,26
29d0f5be23fcf4a076a34fc7b4de4af7,20.0,26
1a1ece51d1c53ba8c0484e1c138a1b2d,21.0,27
270bd231f33849e1481b64882a9d003f,21.0,27
6d4214123a3b4b8d4ba0c555d82f832d,21.0,27
d72162a9e12b3c7675e92a48e6e9af89,21.0,29
735862424856448df55f9d79fd21bf6e,21.0,27
26d8c20af1092da8a3adb82853a4323a,15.0,19
0d725e7c9aea893bcec687cbc402f38f,18.0,24
0c1f9b3f87dd03f5a5317134606db7eb,20.0,26
1e9555f1abf4d3835e6d0bf2875c8d8a,9.0,15
498a9089ae50ff74843710cf56ef7886,6.0,12
8d6295b1699132e877478cbc637ac261,5.0,11
a3fd064590f7879ae7eca6ff6250f3c2,19.0,25
79399394c574de53c70fdcbba60c5d2c,20.0,26
d922edb2aeeb16bebfe888501773d865,18.0,24
98f7a8194484888091a5c3a6a8be7556,21.0,27
cc034a0a651670b5e43e60467b444f1a,19.0,25
1e0b6d04c54d2db0888d94347497a29f,20.0,24
830cbc6ace8942b5e45d1788453b8002,5.0,11
a844f93188e310b40219a81fbaf7863c,14.0,18
b4c0186c2a5bdb9dad25705f6bc87e1d,9.0,13
0fc14503464d33fc7aee310acd4718bd,9.0,13
d172f68c39de1ac0dbe77d6c7ed138d8,10.0,14
ff30a7577d113b69b3651da8c2254ea8,24.0,28
aafb7a7d37ef2aedbf1994d704747a1c,9.0,13
3e03ec264128328854ceb8e6f82e930b,20.0,26
bb35e8e242d45356d25881853a9422d0,8.0,12
b74b4fd56578eadd861c6487e9ba0d5d,7.0,11
41372461cda39e79a7b2399833eb4d8e,7.0,11
38491a65334dfe8360dab9e501db07bf,20.0,24
4075854fc868751de24e7a47e75bf232,8.0,12
7766eb0c82b3ed8ebe9afaa9d2522d8f,10.0,14
6963d85d074e05fa80a3109f847e47a5,8.0,12
277539949275ecd5d58682e1bc73524e,8.0,12
2cee3c8bcc77832a552e2e3cd8e99a8b,10.0,14
13ce2a84ad2fdcccd60e2f9fffe22a27,9.0,13
315e8e2e3bffac73636406151ec34f91,10.0,14
996934d60df628da700c888d7d03a88b,9.0,13
9f99bbd669295a942395b93b35cdc500,9.0,13
1ee9cab215ceabf6906f2ec06cc48856,14.0,22
0bb8be25c528ab0ac2a56d23326a7504,11.0,17
9bb6c67732c97f7873fde98177b13827,21.0,25
80526f0972f433292c6eb49684930042,21.0,27
daf90118aa3c4ad8304acf6439286859,20.0,26
0f0715aa511e0d24fb93ebae3d129904,19.0,25
bc0e141f7c3128524df43663791a0cfa,15.0,21
a9a17786a2c599b900066a0806537714,21.0,27
040a925bb0cdc21c3cc79af2845588a2,18.0,22
47301804f6274a18e526d03abf80af63,15.0,19
6212de3d981adfd715987d7198d23613,18.0,24
351de0f119eb4dd1ce05495f3809cf32,13.0,17
8d5f59d3e0f717814011c2a51a795c6f,9.0,15
b9ca967f22a62976986001af59f31eeb,5.0,11
ee0ea48ad24007e28622fcdbf0e8760f,21.0,27
0a025d4a7bf29b209a366cae86f38808,16.0,20
b0a62b495fea6bcb6cfce1afa9691a57,19.0,23
f6cd35fc38769ecd85a3454e85ace5aa,19.0,25
6f5333648798b849ef7969a7766aefa9,15.0,19
4a22100b490b0a7e5319a23c2a15f579,8.0,12
00d5c7aef076307b4e74a1f95fc2d000,9.0,13
3a93e66a7df4401f3413782ceeea21df,9.0,13
3b8afa27999de6a518ea6ffc60a90f81,9.0,13
127f97b4d4823408ff55ca8e9cfe1bc4,11.0,15
a8a2a3eba2442f5ab75e002484524adb,9.0,13
90b2419bc77a2a56e76d9341e230602e,10.0,14
ae26151db79ff1a95691161c2225a0c9,9.0,13
5844d307f3f8162174952e456fdb7b73,19.0,25
7e70927ca5b1f3bc4fd287b994c01db9,19.0,25
248f99469fbdd43573c1f19aa4a44f95,17.0,23
6ec01b3960c9f60dd6bb93a72f456df2,19.0,23
061c10dcd053b76bc31b6eac2a24cc73,8.0,12
45ac63272554a742aa977678505e32af,23.0,27
aea724b94b5c2024d9dafe35ee592ffe,22.0,26
a29a1cee6fc861047f80b9ab154802e3,18.0,22
132599243ef74fa6ce3131369018cb7b,19.0,25
7ab61d99c219681190ccdb7485eb5458,18.0,24
fdc7c7534e784d64cd31d5277ab2c2d4,20.0,26
726873001443aae177518845920ebc71,17.0,21
ae59b4435c72c7ef3734b982ce7bd970,9.0,13
8b90509746e8fab47097239edc12160a,19.0,25
227ead0315dabc67440c5fc1a7f3ef60,10.0,14
7243698a0775945d2280620a975734d7,8.0,12
c4220c9a6986e8ea00758df30fec25f8,8.0,12
88af037d65d9a825c75dd2a68555ea72,10.0,14
955812a82c9f5ed56342605652b23921,8.0,12
8cd8cae02fbb2cef83dbdff40cd1f921,10.0,14
dfb22e0f731d89d2ab60f446034dfffc,9.0,13
293425f96b8b76fb28ce3be71c177896,10.0,14
f28b53dead4d5ac71de5c93e5548172e,10.0,14
cc645eedd3a3c1a93cf6feff6eaa536a,9.0,13
3696863aefb0e82bcadc99d96b4ab1ec,8.0,12
e7ca1bc821d6d7a6110546022dce8d3c,8.0,14
9946b2a31a9a5b3ae694de2b3944fb3b,10.0,14
d897be68cf364136421a3470a40b5477,8.0,12
e1ecb40490fea6ca377e104e8be6970f,11.0,15
e2795cfc3fdc0acde26b83b4284cb4a4,9.0,13
d7d370694256d74868da3aae06ca53b5,18.0,24
686f1a6ab7f27da20e20f805468f8af4,18.0,24
cde28d809c33c96f3bca0750ad30d281,13.0,17
d8dac2465acdb191540b4f7a64a8b057,22.0,26
bd9313aaed463b42c65aa99fb03735c7,8.0,14
b7a4ae8d771e37d97f4fe1bfc258efea,23.0,27
ce3293db4e5b76acd6138f5c4c9d3430,22.0,26
6448e9ae84e89dbd357025e8536dcfb5,19.0,23
e25845817c6bd154479645a590b01a1e,20.0,26
4649e5f4eedffad5213cf55615d82681,18.0,24
43c9a80e541d12db0b8e6eb2a1bd85d9,11.0,15
8d6c717774a47bb4c5afbc850c254666,7.0,11
508354d7f3ed2492bb6919f0bf880178,17.0,23
8cdf713f97f77d6e15705c64fd3deae0,10.0,14
57e0389d1821a38d71a697f77891998c,9.0,13
38e963e592f0eae3ffb55d0b4874f5f8,9.0,13
bf3f514aa3e84905ccde4d733e01156d,9.0,13
02ae64c73f237382b15d97818fb39fa9,9.0,13
517c4720592848501912a7526b11c48b,9.0,13
c97846d16ed2acddc0752899c3c04068,8.0,12
59bc553524401c550f2e3de93a744275,7.0,11
a4f431868044eac7e95d35e634de3dc4,9.0,13
5de8c328025bee105f4f2472773c2a54,6.0,12
c78b054f5d9452f595148adae9716840,8.0,12
73ec38fe4c9330965fbfa8b76d2798ee,18.0,24
52e1455e183de0ba246499557183f85e,19.0,23
567f03ec13294c33c8b513ba146a4e1e,20.0,24
58297fa802e635a6c11a67d46528a78b,21.0,27
7a7d82650eb4a4fccde7ab9f0d13afc5,24.0,28
cb2b6c8186091e226e314b0caf450ffd,22.0,26
09c361e206664ea1c60b5742247f0961,21.0,27
84ce2dbface172e76967ac1611726db7,15.0,21
50413cc3f47de15b059f4621b97e6dd4,18.0,22
e016bbbfd3f64b23e02b54659ccee171,22.0,26
2ef24c294c07348d828766eb8b504add,8.0,12
85b263cb33bed9b8e0d0896fcd0ad816,22.0,26
1c58422cd0dd5e767304434e3bf5b903,17.0,23
c408911421b48bd66d176516b983c6b4,8.0,12
ed40ea07cb669a7680ccebb06be612a2,9.0,13
18bf62d34b11128c09ab5ba883ae5707,9.0,13
0047334e6c2e062f6c2708776e153408,7.0,11
7580111fcd4f453d0c63fabad8d17967,8.0,12
7684489d937aecf2f3072b50bf97e7b5,9.0,13
b94196cbf82bfa48fc0a823e731cdebf,8.0,12
a36ae373fb657351efcb2f56a536a006,9.0,13
712058c06ad703acac994d020cb50bb1,8.0,12
f1e1b935b7f436584f0c438847a122ab,20.0,26
fbb02d5cab3b112c39b042b9b95fcf69,20.0,26
26fad9a0c3cca450be0668150ec21949,10.0,14
31485455b1ee8984674581f72e0dec4a,8.0,12
2ea237266d6cdc7053aa7fba757f35b0,9.0,13
2da87719c1cf6f042df365bc54782e90,10.0,14
fde9bd8e81313f72b6cc258c9a1fdcb4,7.0,11
cbf5c98338565af1d828da5aa5c3bb24,10.0,14
388c8cd07281ac702c885fedcc679faf,10.0,14
7fabab5f82dd91a81bb1dc8c090f4447,9.0,13
6b60c4fd3fcc35b9b0b31deac069b28b,10.0,14
60ef9b4683ee12d2710e7314db1e98f0,15.0,21
60e6da87176c3442739ff700c3d9b563,8.0,12
792e7332a342855837b44454b715fb85,26.0,30
636f170e8c338976018e7ab3cec3ba63,18.0,24
3801013a36a785b79e4da3e584d42900,21.0,27
113c9b39b72bebd31aa9b5cee0df1311,21.0,27
15de98dade415ae18c66e1294a40fd8e,18.0,22
73d2c260971ef05f079ae289cb174dc7,8.0,12
749b08e115f9b062483c22b0f00e58d5,15.0,19
8d62f57ea33bdf73e53dc58e9f679963,11.0,17
36d1fdca7a67d46867304a6114ab452f,9.0,13
1857ae8ed346b00b9fc14a3141664b13,12.0,16
240c2a0e4a576662f8556c2fdba90122,11.0,15
401c82d1991795b9bd917b6eeb29f83b,13.0,17
0271424bc8e8470f204e566635f208c5,7.0,11
92c72789d77a50e4244bbde9822dadd1,10.0,14
54853b419e57ef026dc5cb2f5a820b05,9.0,13
328c12bbc6a28ec5072e044201f5770e,9.0,13
6f7a211d765761f8aab42c1945bc8d45,10.0,14
b7d83e0833c32670008b7cfe0a7e264c,8.0,12
e6c7ef50b1ea964d07ec45da56aa736a,9.0,13
f56ba252c630350b96221d3bacaedc36,10.0,14
a9d74046d7c1eb53c6015ffc3754211e,8.0,12
be2629f4da16e61623387983e98e8bbb,9.0,13
682066e8e6896e417f7e5711bac343db,7.0,11
64efd8c220082d9abb504b27b68ac5ce,7.0,11
9d4674f62698fadb94ce68940d51fa65,21.0,27
6534831b2820e2998650422d28a78548,21.0,27
98554b78ac3e4b08245ec974f6f2e811,20.0,26
d3b57dbd4538a7cd7e658a4ad45c7927,26.0,32
04e3cf2fe9a96a9387ad1687c8d05453,9.0,13
a35745950381b7874c834f188daa5e8d,18.0,24
5892a3dc3ae7b5de58de84a2f6d115fd,9.0,13
19a49bdfd54e49d503de412275ed61cc,10.0,14
7c3208d2508d2ccf4b225f18f816ef36,10.0,14
c59386306626b82083c25efb0d22d31b,9.0,13
af6a7485acb4a33f45f744b783a23abd,8.0,12
bbecbce1d45110989a92ca37414fb6fa,7.0,11
4427692445f168a3bd8568da49fd8f2f,19.0,23
a0c9737504badbe61e1f003c157592e3,8.0,12
8cae4196732f2be9d5696f895153940e,10.0,14
992872ebc2a8cc637942a9f1d9c3ab94,9.0,13
ae8928c9bae1a15c89a455d1de528002,9.0,13
3db1f74e206b43c569fc555bfba2c0ee,10.0,14
62382e95b70d7de6eab58a9262d4485f,8.0,12
2ad161b3c4d9de589d1a13a7fd766240,21.0,25
e18b2e6fe0f03ba18ac3d239fda3d789,10.0,14
1e1ed2fd28f2b9fbb97a00658a0fcd0a,19.0,25
78fad7242a39bfcad74d297002ff022e,9.0,13
ddd7d04a797966cd8b83b7b80675aa63,18.0,24
8c5468fb95f20d83604af38a5de0cc79,24.0,28
22660d31077b9652b50e97ff9ef73a80,8.0,12
c8ec1ad9fe3f6f442408130ddb6e2ada,18.0,24
6182546f9436fdbb195e10834aba4cb1,8.0,12
4ddb7c9bd8213ee4c767d0f620f0bd76,20.0,26
152b2818d31eee504aa717107a0d13b8,12.0,16
36eb7bcc130c30ea37ce600155314d62,8.0,12
890d631f6ffb8e7d31e973894bd2ff83,8.0,12
424a79241bb985051f2e64f154b874ee,9.0,13
5bd374d31166ac09393fef2d78914dbc,9.0,13
0b1fa31774c477fdf811c1d862f4f89f,9.0,13
e6c7c483f058564bde0f14b3ed1e8f6e,10.0,14
4f03b648f2277aac8d6730d7594198f9,9.0,15
8e6ac0ac61d035e74e7bbbd15b449804,8.0,12
247d07e30fe1e5301bb1d773814f9055,9.0,13
6183c5b0a1f7a1e549c8a169cebfa7ca,9.0,13
e5ff295f322e051596e5de7712ebf036,8.0,12
e728b979e85e20c1691a322f0c06833c,9.0,13
fcd05f4caf1adbd3d8cbdcc1e8175bfb,8.0,12
037bc9b845f13ba93542e0050ec059e8,20.0,24
401dffb8bd9ceddbb307148a187dec50,18.0,26
9dc73fbba72d96c7f140fe34b8a9444a,19.0,23
77cba089ec2f357efd91823da8fbe472,20.0,26
ffe3e00b8fba8ce141146a37002b04af,19.0,23
0aed9e78ef3e37f027b643acd8313f7e,10.0,14
5bdcdf9e66b3ef235e1f0a359110aa2f,19.0,25
76ca260d0ae3be8d6adfe8596bcc5b17,19.0,25
b90dfaee6b9732f3f6d5daabe1481b77,19.0,23
03e6c333444ad9bed5de192fc829fcd3,18.0,24
264358be2f5f32ab4ab3744058c41bac,10.0,14
831e5762ffb13635081133cb52782f64,9.0,13
fa3568d2e2bebfa4d1a0b6adcea75955,22.0,28
f4ef72550d17817f2df5dd55837752ad,17.0,23
4f3dc4d24877df0927a367fb8f6470cf,8.0,12
99cee343bf51ffcacca676e07ddae4fe,11.0,15
f21527e1b64d510e729c8cada33584b5,9.0,13
37f3f203381c3215a5b27cbfdcbb1d56,10.0,14
41685ca4c3cba6e57b5af55fec31e8f7,9.0,13
4c792399b4542ba6a6463da4781f7a6c,8.0,12
952743715b8f62f1e616dc679aa83d72,9.0,13
c4b1444e3f23fe91fc392b1c939d21b7,10.0,14
360eac45c8017465595978f0201605e2,9.0,13
4c0e0db84ea7e8c2589a10304f15ee30,10.0,14
acd7a8c3e2a1b5720de1e5b9d478d5e7,20.0,26
9d78b60ffe17b83d3226283063702bc3,15.0,19
e2d4fffbb22a85cfe0b94e813a537c0d,17.0,21
957db449d7c3c2bfa60753380247fa87,17.0,23
137611d0f451462ebf870b52677c43ff,11.0,15
b9a5884ab4eb3ada3f3b3c5125e9e898,23.0,27
94d19718c76c18aa865bad3690a02bf1,20.0,24
9c8d873f06bb4701f72933073fc1287c,14.0,20
0cf3b72941789430f5fd06faa1ed4bfc,19.0,25
2053a7393a77cf93c1f37d57f157b8a3,12.0,16
19e2b5ec0b1d92d7593f1222789872b3,17.0,21
8e0b8d53abf788de1175da9dc6d7ac54,8.0,12
3ed38ee79eb6111f87f15ae44a4219ad,7.0,11
db868f48bc6dba97ce6841d7c111b46b,9.0,13
a348a65e5b21b830f394f1c5ae403c22,9.0,13
b2545505063eaf43aab1e76c472f997d,8.0,12
58cb6df426e4b5b79161fae3fb7c51df,8.0,12
c19c7b95ed3d3ed10ba79b7d39335d88,23.0,27
b005683761d750628cea69cb7e12a07e,20.0,26
1e2d42ddbf9683a029ae63d2ae2ae799,17.0,21
a21e6c2072708d4673f6efc661ecdd72,21.0,25
7bd7d4cd269b49be9601d5771d5eca50,20.0,26
2d0ac4a2dd75d7de053212e84309bed1,20.0,24
389d4086a60bf7f37ece36ca46aae61e,17.0,23
8e152f886433d88662a5e8f0b1580bb5,20.0,26
0c0c94d5e0f91e996cb302e6255bf7f9,22.0,26
dfe833a815626b8087434c71af2013e4,25.0,29
374eb986cff6d669611d9f859d7884fc,20.0,24
e6b339a12aaf93cf06f6cc5b76a6ae4d,25.0,29
b9454c8d271a3cc25bd0eba19c6503c7,9.0,13
51caeb758fc366ef82caef48e20ed9b7,10.0,14
95e971971fe0f65efe2b9e94a6844d82,9.0,13
aad9e1b7e34866f4accb044bab296cc4,10.0,14
bc8404d1ae917038a1bf910fc08a968a,8.0,12
b11cc89391adc605cbb229bb6f19cc82,9.0,13
55b76d8a32d5f7762cd2e11c0a688b2c,10.0,14
9ba4ea53d46fe45492fa769a07fbe6ed,20.0,24
4846cdc1076c28cbf6a7ff249bc91ce5,20.0,26
4d408a0ed420e6e52ba46d5ee3a68ecd,20.0,24
8ac84549c6359ec2f22ea87835adce57,21.0,25
9520a5bd6c70933b4c7bea14b1e48b3a,16.0,22
e1ef2c1fb159256f502de0b9a84c589e,10.0,14
361897211c1f7d43b018b1301ba03630,10.0,14
8e48395494a5778a4fc428b98c44a488,10.0,14
38fc3f9916c6e5065c8a2ac1b328b3ff,19.0,23
b47a11ac46df31e834c0d1a9caf5c3f8,9.0,13
664687b714254aa01c1afff8d3bb1d6a,7.0,11
0f01f22319397e9d69b9f291c28e1009,9.0,13
7bbfe8d65dcc5172f5b8f334cc450f78,19.0,25
96db826641e9c56858a814d86654fcaf,8.0,12
289a6be9db551b48d799487a3a0e7aaa,9.0,13
2970dd4d22dcf08b4c8c95791b0bac41,10.0,14
03023ff806c9ebb909e9744a46f1f0d8,11.0,15
5a8a9017ad6ad64e4cd67db459820ecc,21.0,27
9294e5b0b1f396f4969a28aaf9390bca,20.0,24
60fa2f894893efd65b91aff89cb785f3,20.0,24
2c5b0af63a3805c7e7ea46acb8de2f6e,29.0,33
7b78df505492757df5257bdf4f21e196,20.0,26
8224d3fbecd58e104fa7a1e028b931d4,10.0,14
f6104efc0427abe0648f5aad3d2cca85,19.0,23
e734dc24e0aefa7380ab664d7f14d7ff,8.0,12
9a2f1afa1dcad59cd64324a9632668b6,17.0,23
c1c2b06d4a226312a42f92321931a9e0,12.0,16
ac432a14835e12eb9cda8f141e1cefc1,10.0,14
5060d2a2d80bdba2251aab5972da3c3f,23.0,27
f6a9cc7eefe1eb064499ed4f0cdc7f5b,9.0,13
0ae17e61b2c91705536446afce2489b7,10.0,14
a1db23d09995682e18d82da2cc75a362,18.0,24
