episode,best_energy_in_episode,best_energy_so_far,num_new_graphs,wall_time_s
0,18.0,5.0,,8.427250896114856
1,21.0,5.0,,8.431386955082417
2,30.0,5.0,,8.43366041709669
3,32.0,5.0,,8.435375454137102
4,31.0,5.0,,8.437437591142952
5,5.0,5.0,,8.438844192074612
6,29.0,5.0,,8.440296421060339
7,15.0,5.0,,8.441569363931194
8,10.0,5.0,,8.443188310135156
9,26.0,5.0,,8.44464282807894
10,22.0,5.0,,8.446738268015906
11,25.0,5.0,,8.44930032407865
12,5.0,5.0,,8.451244237134233
13,31.0,5.0,,8.452822300139815
14,29.0,5.0,,8.454295152099803
15,30.0,5.0,,8.455737157957628
16,10.0,5.0,,8.457803632132709
17,25.0,5.0,,8.460599278099835
18,30.0,5.0,,8.463238486088812
19,31.0,5.0,,8.465854057110846
20,32.0,5.0,,8.46856452501379
21,29.0,5.0,,8.471349617931992
22,31.0,5.0,,8.473504055058584
23,28.0,5.0,,8.475682592019439
24,22.0,5.0,,8.478133372031152
25,32.0,5.0,,8.48070695111528
26,19.0,5.0,,8.483957753982395
27,13.0,5.0,,8.486946066142991
28,31.0,5.0,,8.490173795958981
29,17.0,5.0,,8.493204077938572
30,22.0,5.0,,8.496205115923658
31,29.0,5.0,,8.499302949057892
32,17.0,5.0,,8.5030352701433
33,30.0,5.0,,8.5065257770475
34,23.0,5.0,,8.509853418916464
35,28.0,5.0,,8.513037801953033
36,32.0,5.0,,8.51576598198153
37,25.0,5.0,,8.519472100073472
38,13.0,5.0,,8.52288132510148
39,5.0,5.0,,8.525654559023678
40,29.0,5.0,,8.527827551122755
41,31.0,5.0,,8.530511849094182
42,31.0,5.0,,8.534019377082586
43,16.0,5.0,,8.536809640936553
44,26.0,5.0,,8.540057849138975
45,18.0,5.0,,8.542379651917145
46,26.0,5.0,,8.545560037018731
47,30.0,5.0,,8.548983318032697
48,13.0,5.0,,8.552545054117218
49,19.0,5.0,,8.555454866960645
50,17.0,5.0,,8.557942113140598
51,15.0,5.0,,8.56128608295694
52,5.0,5.0,,8.564393193926662
53,23.0,5.0,,8.567214845912531
54,25.0,5.0,,8.569730110000819
55,15.0,5.0,,8.572374412091449
56,23.0,5.0,,8.57569558499381
57,32.0,5.0,,8.578692256007344
58,19.0,5.0,,8.58163288095966
59,31.0,5.0,,8.585017516976222
60,31.0,5.0,,8.587525564013049
61,13.0,5.0,,8.589725913014263
62,22.0,5.0,,8.592700055101886
63,5.0,5.0,,8.594164802925661
64,25.0,5.0,,8.59628648404032
65,31.0,5.0,,8.59936593612656
66,23.0,5.0,,8.60212430008687
67,32.0,5.0,,8.605107136070728
68,21.0,5.0,,8.607415408128873
69,26.0,5.0,,8.609948958037421
70,19.0,5.0,,8.613233834970742
71,30.0,5.0,,8.616346372989938
72,27.0,5.0,,8.619674957124516
73,19.0,5.0,,8.622782540041953
74,17.0,5.0,,8.626181781059131
75,29.0,5.0,,8.62895608204417
76,30.0,5.0,,8.631044164067134
77,25.0,5.0,,8.63444889895618
78,31.0,5.0,,8.637335147941485
79,31.0,5.0,,8.640599495964125
80,17.0,5.0,,15.606246737064794
81,10.0,5.0,,15.60983695811592
82,25.0,5.0,,15.612100989092141
83,23.0,5.0,,15.613868843996897
84,14.0,5.0,,15.616006653057411
85,15.0,5.0,,15.61772919096984
86,29.0,5.0,,15.619387174025178
87,27.0,5.0,,15.62096192012541
88,26.0,5.0,,15.622600147034973
89,26.0,5.0,,15.624328847974539
90,5.0,5.0,,15.626214375020936
91,29.0,5.0,,15.629249335965142
92,20.0,5.0,,15.632533455034718
93,29.0,5.0,,15.634766367962584
94,23.0,5.0,,15.636752323945984
95,14.0,5.0,,15.638344274135306
96,13.0,5.0,,15.640419512987137
97,18.0,5.0,,15.64298977702856
98,29.0,5.0,,15.645062109921128
99,28.0,5.0,,15.647147169103846
100,30.0,5.0,,15.649029260035604
101,31.0,5.0,,15.651402950985357
102,27.0,5.0,,15.653944113990292
103,22.0,5.0,,15.656676873099059
104,19.0,5.0,,15.659392279107124
105,17.0,5.0,,15.662570209009573
106,8.0,5.0,,15.66591579793021
107,18.0,5.0,,15.668905525933951
108,16.0,5.0,,15.671985090943053
109,27.0,5.0,,15.674914923030883
110,24.0,5.0,,15.67703935992904
111,23.0,5.0,,15.679386046947911
112,16.0,5.0,,15.6813992371317
113,25.0,5.0,,15.684648740105331
114,19.0,5.0,,15.687054920941591
115,5.0,5.0,,15.689915873110294
116,10.0,5.0,,15.692785324994475
117,20.0,5.0,,15.696142138913274
118,10.0,5.0,,15.69915217696689
119,15.0,5.0,,15.702459445921704
120,10.0,5.0,,15.705192368943244
121,27.0,5.0,,15.707486460916698
122,20.0,5.0,,15.710819429950789
123,17.0,5.0,,15.71446351497434
124,24.0,5.0,,15.717760737985373
125,15.0,5.0,,15.720576009945944
126,31.0,5.0,,15.722895852988586
127,27.0,5.0,,15.725965190911666
128,22.0,5.0,,15.728856764966622
129,25.0,5.0,,15.731611204100773
130,17.0,5.0,,15.734360615955666
131,28.0,5.0,,15.736752194119617
132,29.0,5.0,,15.73921397794038
133,19.0,5.0,,15.741042327135801
134,5.0,5.0,,15.743064704118297
135,23.0,5.0,,15.745192625094205
136,17.0,5.0,,15.74779548496008
137,29.0,5.0,,15.75047451700084
138,5.0,5.0,,15.752817833097652
139,20.0,5.0,,15.755383673124015
140,26.0,5.0,,15.757086327997968
141,12.0,5.0,,15.758946747984737
142,29.0,5.0,,15.760260122129694
143,30.0,5.0,,15.761900251964107
144,15.0,5.0,,15.763701836112887
145,20.0,5.0,,15.765617405064404
146,19.0,5.0,,15.76729419012554
147,15.0,5.0,,15.768718268955126
148,29.0,5.0,,15.770169460913166
149,15.0,5.0,,15.772413908038288
150,31.0,5.0,,15.775141539052129
151,25.0,5.0,,15.777349591022357
152,8.0,5.0,,15.780462031951174
153,19.0,5.0,,15.783779399935156
154,24.0,5.0,,15.786742086987942
155,30.0,5.0,,15.789720359956846
156,27.0,5.0,,15.79236805299297
157,5.0,5.0,,15.794911788078025
158,16.0,5.0,,15.79716290300712
159,20.0,5.0,,15.799812902929261
160,32.0,5.0,,22.378265677019954
161,30.0,5.0,,22.38082139706239
162,22.0,5.0,,22.3824049429968
163,28.0,5.0,,22.383977309102193
164,29.0,5.0,,22.386096460046247
165,19.0,5.0,,22.38817798695527
166,22.0,5.0,,22.390339317033067
167,29.0,5.0,,22.391923923045397
168,19.0,5.0,,22.394157329108566
169,23.0,5.0,,22.396383855026215
170,16.0,5.0,,22.398771474137902
171,10.0,5.0,,22.40146073908545
172,17.0,5.0,,22.40352737600915
173,16.0,5.0,,22.405499876942486
174,13.0,5.0,,22.407040640013292
175,10.0,5.0,,22.408688545925543
176,20.0,5.0,,22.411155798006803
177,23.0,5.0,,22.412981731118634
178,28.0,5.0,,22.414696112973616
179,20.0,5.0,,22.41618697112426
180,20.0,5.0,,22.417733242036775
181,23.0,5.0,,22.419647820992395
182,24.0,5.0,,22.421479813056067
183,21.0,5.0,,22.423287538113073
184,22.0,5.0,,22.42481255508028
185,22.0,5.0,,22.427051223115996
186,15.0,5.0,,22.42992434813641
187,5.0,5.0,,22.43252301006578
188,11.0,5.0,,22.435079518007115
189,27.0,5.0,,22.43709835712798
190,15.0,5.0,,22.440225939033553
191,21.0,5.0,,22.443642107071355
192,12.0,5.0,,22.446606009965762
193,19.0,5.0,,22.44891762593761
194,30.0,5.0,,22.4509386299178
195,29.0,5.0,,22.453053313074633
196,29.0,5.0,,22.455932975979522
197,20.0,5.0,,22.45899526705034
198,13.0,5.0,,22.461578153073788
199,13.0,5.0,,22.463959478074685
200,22.0,5.0,,22.466003887122497
201,27.0,5.0,,22.468666240107268
202,23.0,5.0,,22.471519618993625
203,28.0,5.0,,22.474189340136945
204,28.0,5.0,,22.476632605073974
205,28.0,5.0,,22.479130408959463
206,19.0,5.0,,22.481575737008825
207,31.0,5.0,,22.484537781914696
208,28.0,5.0,,22.486751760123298
209,23.0,5.0,,22.48921127500944
210,20.0,5.0,,22.49184752511792
211,23.0,5.0,,22.494602967984974
212,15.0,5.0,,22.49623639509082
213,29.0,5.0,,22.497935025952756
214,29.0,5.0,,22.499908334109932
215,27.0,5.0,,22.50244265096262
216,23.0,5.0,,22.505174529971555
217,27.0,5.0,,22.506998938973993
218,22.0,5.0,,22.50888986699283
219,10.0,5.0,,22.511583558050916
220,18.0,5.0,,22.51405433495529
221,27.0,5.0,,22.51553274691105
222,31.0,5.0,,22.517301321960986
223,22.0,5.0,,22.519520400092006
224,16.0,5.0,,22.522087301127613
225,17.0,5.0,,22.524287902982906
226,23.0,5.0,,22.525544895092025
227,27.0,5.0,,22.52705510193482
228,28.0,5.0,,22.52876290003769
229,10.0,5.0,,22.53124024812132
230,21.0,5.0,,22.533797251060605
231,5.0,5.0,,22.535956783918664
232,18.0,5.0,,22.537904968950897
233,22.0,5.0,,22.540936052100733
234,13.0,5.0,,22.543541864026338
235,18.0,5.0,,22.545338182942942
236,20.0,5.0,,22.547812564997002
237,14.0,5.0,,22.550993297016248
238,19.0,5.0,,22.553540002088994
239,30.0,5.0,,22.55501843104139
240,23.0,5.0,,30.617519221035764
241,26.0,5.0,,30.62030676496215
242,15.0,5.0,,30.622208174085245
243,20.0,5.0,,30.62392666307278
244,29.0,5.0,,30.62559214513749
245,10.0,5.0,,30.627141444012523
246,23.0,5.0,,30.628367260098457
247,23.0,5.0,,30.629774363012984
248,17.0,5.0,,30.63127546105534
249,29.0,5.0,,30.63280253112316
250,25.0,5.0,,30.63446033303626
251,30.0,5.0,,30.636416669934988
252,16.0,5.0,,30.638375299051404
253,15.0,5.0,,30.639981132932007
254,9.0,5.0,,30.64164056396112
255,27.0,5.0,,30.643109621014446
256,26.0,5.0,,30.645052995998412
257,22.0,5.0,,30.64733405597508
258,26.0,5.0,,30.649825331987813
259,17.0,5.0,,30.651378694921732
260,22.0,5.0,,30.653167316922918
261,10.0,5.0,,30.655029471963644
262,27.0,5.0,,30.656862125033513
263,16.0,5.0,,30.658327118959278
264,17.0,5.0,,30.65989726409316
265,20.0,5.0,,30.662092100130394
266,22.0,5.0,,30.664855766110122
267,21.0,5.0,,30.667028008960187
268,15.0,5.0,,30.669895245926455
269,26.0,5.0,,30.6723552220501
270,10.0,5.0,,30.674453377956524
271,10.0,5.0,,30.677119113039225
272,16.0,5.0,,30.68010045401752
273,17.0,5.0,,30.68313644709997
274,18.0,5.0,,30.68594599701464
275,22.0,5.0,,30.689118854003027
276,22.0,5.0,,30.692340858047828
277,9.0,5.0,,30.69571121199988
278,19.0,5.0,,30.698956853011623
279,24.0,5.0,,30.701855707913637
280,17.0,5.0,,30.703991943039
281,27.0,5.0,,30.706290865084156
282,26.0,5.0,,30.70889310212806
283,5.0,5.0,,30.71090103709139
284,26.0,5.0,,30.71360353101045
285,29.0,5.0,,30.715978427091613
286,20.0,5.0,,30.718444653088227
287,10.0,5.0,,30.7212689621374
288,20.0,5.0,,30.72357735899277
289,17.0,5.0,,30.726174185052514
290,20.0,5.0,,30.729326660977677
291,18.0,5.0,,30.732386786025017
292,22.0,5.0,,30.73441372392699
293,11.0,5.0,,30.73633428593166
294,18.0,5.0,,30.73873256193474
295,25.0,5.0,,30.74167803605087
296,22.0,5.0,,30.74445880902931
297,15.0,5.0,,30.746581139042974
298,27.0,5.0,,30.748692709952593
299,25.0,5.0,,30.75197116401978
300,21.0,5.0,,30.75443722703494
301,7.0,5.0,,30.756107362918556
302,8.0,5.0,,30.757528631947935
303,29.0,5.0,,30.759190734941512
304,27.0,5.0,,30.761064159916714
305,10.0,5.0,,30.76262867404148
306,9.0,5.0,,30.76481332210824
307,19.0,5.0,,30.766503779916093
308,17.0,5.0,,30.76819835603237
309,18.0,5.0,,30.77073250594549
310,5.0,5.0,,30.773771493928507
311,27.0,5.0,,30.776452847057953
312,26.0,5.0,,30.779284501913935
313,19.0,5.0,,30.7818084389437
314,17.0,5.0,,30.784397748997435
315,26.0,5.0,,30.786438659066334
316,29.0,5.0,,30.78835216513835
317,11.0,5.0,,30.79145568306558
318,28.0,5.0,,30.79428342101164
319,20.0,5.0,,30.79656995506957
320,8.0,5.0,,38.21183883212507
321,20.0,5.0,,38.21488421713002
322,25.0,5.0,,38.216600825078785
323,31.0,5.0,,38.218281673965976
324,22.0,5.0,,38.22057368000969
325,23.0,5.0,,38.22301966208033
326,18.0,5.0,,38.22558262012899
327,18.0,5.0,,38.22730462392792
328,19.0,5.0,,38.22950260504149
329,22.0,5.0,,38.232185303932056
330,11.0,5.0,,38.23476955201477
331,18.0,5.0,,38.237148319138214
332,26.0,5.0,,38.23970191599801
333,22.0,5.0,,38.24199282913469
334,9.0,5.0,,38.24409406608902
335,19.0,5.0,,38.246371678076684
336,13.0,5.0,,38.24934713798575
337,25.0,5.0,,38.25181255512871
338,7.0,5.0,,38.2536389939487
339,17.0,5.0,,38.25529998913407
340,12.0,5.0,,38.25729838991538
341,15.0,5.0,,38.25989968911745
342,17.0,5.0,,38.26218233513646
343,25.0,5.0,,38.26418977812864
344,26.0,5.0,,38.26580105093308
345,13.0,5.0,,38.26775965094566
346,9.0,5.0,,38.270355944056064
347,25.0,5.0,,38.27285549091175
348,26.0,5.0,,38.27553893812001
349,27.0,5.0,,38.278020261088386
350,20.0,5.0,,38.280395683133975
351,10.0,5.0,,38.283100720029324
352,18.0,5.0,,38.286070455098525
353,31.0,5.0,,38.288601376116276
354,15.0,5.0,,38.29118000296876
355,14.0,5.0,,38.293596933130175
356,26.0,5.0,,38.296249608974904
357,19.0,5.0,,38.299356810050085
358,25.0,5.0,,38.30249622091651
359,24.0,5.0,,38.3056121210102
360,11.0,5.0,,38.30792225408368
361,16.0,5.0,,38.3095586381387
362,15.0,5.0,,38.31179286213592
363,21.0,5.0,,38.314453271916136
364,28.0,5.0,,38.31711110007018
365,29.0,5.0,,38.31935667991638
366,20.0,5.0,,38.32149219396524
367,17.0,5.0,,38.324463742086664
368,11.0,5.0,,38.32687128894031
369,22.0,5.0,,38.32901456207037
370,29.0,5.0,,38.33134901197627
371,20.0,5.0,,38.33407866000198
372,19.0,5.0,,38.335859313141555
373,23.0,5.0,,38.337930316105485
374,9.0,5.0,,38.34008912811987
375,19.0,5.0,,38.342404490103945
376,20.0,5.0,,38.34534920495935
377,26.0,5.0,,38.347441884921864
378,17.0,5.0,,38.34967814804986
379,10.0,5.0,,38.352237292099744
380,17.0,5.0,,38.354335223091766
381,10.0,5.0,,38.356226278003305
382,8.0,5.0,,38.35804139706306
383,22.0,5.0,,38.359964333008975
384,8.0,5.0,,38.36228423798457
385,19.0,5.0,,38.364011604106054
386,26.0,5.0,,38.36595160514116
387,26.0,5.0,,38.36842318205163
388,19.0,5.0,,38.370807020924985
389,24.0,5.0,,38.37364658713341
390,28.0,5.0,,38.376664157025516
391,23.0,5.0,,38.38021811004728
392,19.0,5.0,,38.38336116401479
393,17.0,5.0,,38.386221937136725
394,28.0,5.0,,38.38899659807794
395,10.0,5.0,,38.39140404504724
396,17.0,5.0,,38.393029883969575
397,29.0,5.0,,38.395557122072205
398,15.0,5.0,,38.39798920112662
399,23.0,5.0,,38.40021957503632
400,30.0,5.0,,45.94305736897513
401,25.0,5.0,,45.94639970804565
402,32.0,5.0,,45.94851899612695
403,29.0,5.0,,45.95006385399029
404,13.0,5.0,,45.95162128098309
405,17.0,5.0,,45.95320497197099
406,8.0,5.0,,45.95475080702454
407,10.0,5.0,,45.95604024711065
408,32.0,5.0,,45.95788515498862
409,10.0,5.0,,45.95994062209502
410,26.0,5.0,,45.96199480211362
411,24.0,5.0,,45.964385350001976
412,25.0,5.0,,45.96568177593872
413,23.0,5.0,,45.9669950241223
414,29.0,5.0,,45.968178225914016
415,19.0,5.0,,45.96928102709353
416,5.0,5.0,,45.971295189112425
417,20.0,5.0,,45.974178452044725
418,28.0,5.0,,45.976350827142596
419,28.0,5.0,,45.97918321006
420,29.0,5.0,,45.98194930399768
421,15.0,5.0,,45.984882856020704
422,27.0,5.0,,45.98711612797342
423,29.0,5.0,,45.9894296110142
424,20.0,5.0,,45.991202770965174
425,21.0,5.0,,45.99306821101345
426,23.0,5.0,,45.99574595107697
427,30.0,5.0,,45.99823509110138
428,24.0,5.0,,46.001357110915706
429,21.0,5.0,,46.003347943071276
430,19.0,5.0,,46.006024139001966
