hash,energy,size
81148ce4c31bbc672a06a8276bcd5902,31.0,37
c9bd0b8c03c318976d5949bf12b1660a,31.0,37
63aeaa50961c7c9fb78a84636e282245,26.0,32
eb37d28ad5194783c9fc7394e204da23,15.0,21
257b57236031cad12b587ede14cd0372,5.0,11
8211151927b3b7af1752ab9502388a88,17.0,23
da8a3c932e41fd4d3ac12f6c88516af9,17.0,23
24082ace3dbde1a6134d4a10ae9672ef,16.0,22
07995caf21eedece6b9b35c49c06917b,25.0,31
6efdd69e08007b5c0acdea1562c4ae7a,31.0,37
c3bb9ccd78276791c1116ec6a3bc73c0,29.0,35
38157a3bff9763bdace14861f8573759,30.0,36
2ac07059f1d1b19045327df1475ed976,32.0,38
92f29d1ea6da8dba462d134152261f48,31.0,37
0030bde8f16be04f98bb2e722a1f95e9,23.0,29
77c10c877ac60d1ef2a4d7d58e615bec,23.0,29
ce21e269bc16551b6655f9d829d7eb90,30.0,36
6c928b884db56e7e8e18d41fc4356dbd,30.0,36
fd84f4dd902ae1267f35e9fe07bda2a4,30.0,36
66b3b999cb25a4920556556ad9b3a2e0,31.0,37
6c2da04b6772807eb0f9c2a772d2b9c5,30.0,36
43d2cf1d7ad57028a818d56d0809aaa9,5.0,11
0e251f77c23ca98673d8f25ae1a075a5,17.0,23
531b18688a88d06b33ea0d9045e8d192,21.0,27
1bb730fabd654fb8377b39b1c7e8224c,29.0,35
a9298c04f92dd45a905fd036c67de256,10.0,14
f5642c6bdd0ce1423a29635b543d8102,19.0,25
7f33afca858808a1b1e2c0492ffd6659,32.0,38
6175dc42e14b519edd122aa7fbb95476,22.0,28
a714acf07d42592a74af967f7c33156e,27.0,33
4e274959c73a6b0ceef6903e2cfc934b,25.0,31
b98a5c435776dac7d53835437916c1ff,29.0,35
923980429e7e473a0e9938800aecf187,29.0,35
11cd652eeb07a668f356c35cfa28a535,23.0,29
15e41826642bef562a73c0df442988b3,25.0,31
0c48a08fd08a662b489c23dcd4174e71,24.0,30
877eb4d7bad90e25ecd56adb59319e0e,29.0,35
aa69ebad792215a70f3ef48a1e194dc9,23.0,29
49a6d8db41aa9ce902e2e72faf3a46ed,30.0,36
10f13210dfa22ff70af055d4bfc834b4,29.0,35
07eaa8212c4d976d4196d7518f839bb1,18.0,24
ff6aaa26e68f768033b000e32badd031,17.0,23
da80511b131692265b0665cb000f4ef0,6.0,13
c7dc2d4fa1992f65c1f8a261d765e294,27.0,33
e19dcd643e7a92afb5176e6ee399e5fe,26.0,32
8c08aa68c4a6b5cba84839d27bf9e2bf,31.0,37
7fa1386f9d4b58f008466a5a468ca312,23.0,29
e2b4401c76fe098568750acf3d8f6e57,29.0,35
f12f1e7f553848b951adb2c1075737e1,17.0,23
985ab3ddba74dd512deffb90a06caf59,15.0,19
c408e4f5f65fad9d034419a274e7a736,31.0,37
79d6047161fff0dc50dcf5ef9c1fa499,23.0,29
e4ea686677059c63dcab1df364829a5d,29.0,35
55370cc79e24bc2cc5ec1f12c2a188e9,19.0,25
135a99bb1e55d099201fc2177a436c86,22.0,28
c96fb231be9e6ac7c3f2eebefe5623d7,30.0,36
14c0ab9b447d07093f28fa27d6b6ed5c,13.0,17
0beb3520e4a8ec113827f5a59c86ca71,22.0,28
5e0ca8c0ea01aa811f45d3b3f439098c,20.0,26
9eec93392b8318f1679699e2ef044d81,17.0,23
fc813a5f3e25dfb3dc2498e301f0e8cb,29.0,35
289ea531e93af648ba25ed0f97bd6356,20.0,26
19b0ec11c7832efa8c6bed1470402807,15.0,19
22a25e8c7af80063cf0fe678f6ed9df1,18.0,22
563af5335e67cb972adca081fd1b48db,12.0,16
202ab4d1dd9cf3dbe6d7e750f28a9e37,13.0,17
d23032665d529895ab36658002a3fa8a,19.0,25
80ff75e7b9e087246149338d0ccd7149,28.0,34
d3c37bbc5b36b131d0610a60320f294f,15.0,19
bf5504c7b31beedb520f62a8c5e5c01e,5.0,11
031e78f4749a333334955846b7ab07f3,27.0,33
fb0713fa44fea49d7ec3f0d00f396cab,8.0,17
cc87440b94263e95725166c30876e780,25.0,31
a1224644ca19333f59a57d9fbee42812,5.0,11
395c2107e30497f023c6582c0518e981,28.0,34
4cd59c8da6d4ad1d172b06b39f43a354,31.0,37
ed72c524449402d587133be64b05c125,29.0,35
33dff53f3b3a19ef604d61385ff5e7fb,12.0,16
98fe686f7368041b04f05204205e0e19,20.0,26
bf0839973685576d32dd91cf24912999,27.0,33
f03d556ef999e228785f78b2e7c14cb7,21.0,27
af9e640c7bc08bdabab244430f8f6dce,28.0,34
9a8f6354938e2b26d86acd75056126d3,11.0,18
70ec5880c8fa93becc236b9cecf6e371,31.0,37
2e8855edb902b041639f43425dbddff6,20.0,26
a831db19c406c195180382638164a803,27.0,35
117aae3d86803c9409ee1ac7b539bfd2,28.0,34
728e0ef75f28a5847686c1130e62887b,11.0,17
325149721995fdf4504294704f5e6541,21.0,27
161d616d7fbe84c67af77faabe2fa4cf,10.0,14
9d540a541a07ad86401b1a8021e653db,16.0,22
bba7edc84c31b86ee1f213fbf9c99ec7,26.0,32
b2d92b92968fa5e61b80d36338428af3,19.0,25
3c9b686c446a476e30ea0d53ff0d350a,27.0,33
06644537142a6d19e9d80b9125063e05,24.0,30
8eb814ca34d66d9e588f206acc88a171,15.0,19
107cd5f600d511e8959ddaf5ab3ab24b,16.0,20
ada86d2caeee405ee920bcea160fc45f,14.0,20
d084ee21be1e173796a93467ff667e8c,9.0,15
bc0498facd952717a85b0b9e1813acca,15.0,21
f93c30d03e83ccaf1165f2aa4a971619,15.0,21
