Step,custom/best_energy,wall_time_s
0,24.0,0.009022122947499156
80,10.0,1.502467165933922
160,8.0,2.4764215529430658
240,5.0,3.3374211080372334
320,5.0,4.163074231008068
400,5.0,4.93206558492966
480,5.0,5.679436305072159
560,5.0,6.300635582068935
640,5.0,7.003217684105039
720,5.0,7.580675306962803
800,5.0,8.164808152010664
880,5.0,9.219436164014041
960,5.0,10.083541474072263
1040,5.0,11.024433620972559
1120,5.0,11.804744771914557
1200,5.0,12.497643276117742
1280,5.0,13.236804977059364
1360,5.0,13.898599436040968
1440,5.0,14.575853571062908
1520,5.0,15.276336590992287
1600,5.0,15.995244554011151
1680,5.0,17.086986154085025
1760,5.0,17.88686583098024
1840,5.0,18.715259791119024
1920,5.0,19.50398163497448
2000,5.0,20.24185813497752
2080,5.0,20.983335233991966
2160,5.0,21.746434088097885
2240,5.0,22.456121809082106
2320,5.0,23.17519611492753
2400,5.0,23.890469700098038
2480,5.0,24.87024069391191
2560,5.0,25.5761335529387
2640,5.0,26.397713236045092
2720,5.0,27.14259670698084
2800,5.0,27.830089590977877
2880,5.0,28.506535944063216
2960,5.0,29.214939784957096
3040,5.0,29.764505356084555
3120,5.0,30.378672949038446
3200,5.0,31.01690225303173
3280,5.0,32.103439680999145
3360,5.0,32.88585964310914
3440,5.0,33.702631493099034
3520,5.0,34.548621464986354
3600,5.0,35.281833046115935
3680,5.0,35.954804338049144
3760,5.0,36.73127948702313
3840,5.0,37.538614603923634
3920,5.0,38.35502622812055
4000,5.0,39.53986887494102
4080,5.0,40.69402234093286
4160,5.0,41.48589200805873
4240,5.0,42.337605613982305
4320,5.0,43.145920114126056
4400,5.0,43.900211204076186
4480,5.0,44.68574839201756
4560,5.0,45.39119116496295
4640,5.0,46.08131146593951
4720,5.0,46.840875460067764
4800,5.0,47.51095950813033
4880,5.0,48.89626348600723
4960,5.0,49.70278160599992
5040,5.0,50.44305858691223
5120,5.0,51.25468013295904
5200,5.0,51.916043987032026
5280,5.0,52.52882887609303
5360,5.0,53.17463751602918
5440,5.0,53.910424740985036
5520,5.0,54.55423254403286
5600,5.0,55.15708669391461
5680,5.0,56.21728888899088
5760,5.0,56.993146165972576
5840,5.0,57.800268752034754
5920,5.0,58.64690259913914
6000,5.0,59.366030424134806
6080,5.0,60.074883308960125
6160,5.0,60.81274417205714
6240,5.0,61.4392705229111
6320,5.0,62.45349870296195
6400,5.0,63.14571509510279
6480,5.0,64.16294030891731
6560,5.0,64.96071368898265
6640,5.0,65.69989986205474
6720,5.0,66.53933036397211
6800,5.0,67.32703932002187
6880,5.0,68.10105060902424
6960,5.0,68.95126773696393
7040,5.0,69.64099104399793
7120,5.0,70.37262970395386
7200,5.0,71.05213904799893
7280,5.0,72.096494252095
7360,5.0,72.9101171339862
7440,5.0,73.81417305301875
7520,5.0,74.74642683705315
7600,5.0,75.7702056390699
7680,5.0,76.71905926405452
7760,5.0,77.5476210960187
7840,5.0,78.34269805811346
7920,5.0,79.68731032498181
8000,5.0,80.52280356013216
8080,5.0,81.64405901008286
8160,5.0,82.56256669503637
8240,5.0,83.6329943081364
8320,5.0,84.62017656792887
8400,5.0,85.49289661506191
8480,5.0,86.24840918113478
8560,5.0,87.59398894500919
8640,5.0,88.57757093501277
8720,5.0,89.83377324510366
8800,5.0,91.82286041299812
8880,5.0,93.07330424408428
8960,5.0,94.11059340694919
9040,5.0,94.98462743801065
9120,5.0,95.92732036812231
9200,5.0,96.85975712304935
9280,5.0,97.72773014707491
9360,5.0,98.60236096591689
9440,5.0,99.44904508301988
9520,5.0,100.19014332303777
9600,5.0,100.91979846009053
9680,5.0,101.92011136095971
9760,5.0,102.79148675198667
9840,5.0,103.68239238113165
9920,5.0,104.47655609203503
10000,5.0,105.66953109996393
10080,5.0,107.1366921949666
10160,5.0,108.61063094995916
10240,5.0,109.6473211820703
10320,5.0,110.62941104010679
10400,5.0,111.69710719911382
10480,5.0,113.20424154913053
10560,5.0,114.56655085412785
10640,5.0,115.92459261813201
10720,5.0,117.26601361413486
10800,5.0,119.18095658207312
10880,5.0,120.1823414049577
10960,5.0,121.14628212503158
11040,5.0,122.05608759191819
11120,5.0,122.96755965612829
11200,5.0,123.89773410302587
11280,5.0,125.13441733596846
11360,5.0,125.98000356508419
11440,5.0,127.13102436298504
11520,5.0,128.25560186593793
11600,5.0,129.22596089495346
11680,5.0,130.4154796351213
11760,5.0,131.5126574151218
11840,5.0,132.6136952219531
11920,5.0,133.6366337800864
12000,5.0,134.67645546700805
12080,5.0,135.74221279402263
12160,5.0,136.6506301909685
12240,5.0,137.54422838496976
12320,5.0,138.39897815394215
12400,5.0,139.33389988006093
12480,5.0,140.35135448607616
12560,5.0,141.42943202098832
12640,5.0,142.4788659911137
12720,5.0,144.09274749993347
12800,5.0,145.1839165580459
12880,5.0,146.69683202099986
12960,5.0,147.7764535411261
13040,5.0,148.79245267109945
13120,5.0,149.85282953409478
13200,5.0,150.7277778130956
13280,5.0,151.99981687706895
13360,5.0,152.87566509004682
13440,5.0,153.68408901104704
13520,5.0,154.54846430197358
13600,5.0,155.28105982299894
13680,5.0,157.15716409194283
13760,5.0,158.719957703026
13840,5.0,159.82115901308134
13920,5.0,160.95682665403
14000,5.0,162.10611693491228
14080,5.0,163.18537702294998
14160,5.0,164.06537347799167
14240,5.0,165.30252425395884
14320,5.0,166.1813730620779
14400,5.0,166.96140194195323
14480,5.0,168.34245236800052
14560,5.0,169.36791436001658
14640,5.0,170.21759246103466
14720,5.0,171.26324466709048
14800,5.0,171.99455402605236
14880,5.0,172.75722057395615
14960,5.0,173.46813885611482
15040,5.0,174.24448230001144
15120,5.0,174.91223818203434
15200,5.0,175.65271272091195
15280,5.0,177.13217367813922
15360,5.0,178.0941673030611
15440,5.0,179.2937706799712
15520,5.0,180.65165503695607
15600,5.0,182.01489878003486
15680,5.0,183.31127598905005
15760,5.0,184.59061773493886
15840,5.0,186.267186162062
15920,5.0,187.35902221105061
16000,5.0,188.12622517812997
16080,5.0,189.3118560030125
16160,5.0,190.1870904439129
16240,5.0,190.99330327706411
16320,5.0,191.84018556308
16400,5.0,192.5778514361009
16480,5.0,193.44442868395709
16560,5.0,194.15383374597877
16640,5.0,194.81251465412788
16720,5.0,195.5209072260186
16800,5.0,196.21175566711463
16880,5.0,197.32007903512567
16960,5.0,198.39195234002545
17040,5.0,199.34189369995147
17120,5.0,200.12561817700043
17200,5.0,201.00122864195146
17280,5.0,201.80707313213497
17360,5.0,202.64177074399777
17440,5.0,203.4403510100674
17520,5.0,205.15836809412576
17600,5.0,206.24132867599837
17680,5.0,207.8912792741321
17760,5.0,208.91561455396004
17840,5.0,209.7600940631237
17920,5.0,210.85166970593855
18000,5.0,212.11374519602396
18080,5.0,213.38065436691977
18160,5.0,214.66376335313544
18240,5.0,215.69968713494018
18320,5.0,216.98322561010718
18400,5.0,217.9698840470519
18480,5.0,219.685949269915
18560,5.0,221.16488947696052
18640,5.0,222.84360125102103
18720,5.0,224.27462405408733
18800,5.0,225.21589746396057
18880,5.0,226.13258859911002
18960,5.0,226.93606598605402
19040,5.0,227.72004134510644
19120,5.0,228.49871208309196
19200,5.0,229.20562163111754
19280,5.0,230.52734367898665
19360,5.0,231.81110538193025
19440,5.0,233.0043389259372
19520,5.0,234.18352267611772
19600,5.0,235.18780387705192
19680,5.0,236.37514860997908
19760,5.0,237.5344240530394
19840,5.0,239.4812960610725
19920,5.0,241.18431567610241
20000,5.0,242.88332521403208
20080,5.0,244.57980944705196
20160,5.0,246.44574534799904
20240,5.0,247.982335123932
20320,5.0,249.38786958693527
20400,5.0,250.82729726005346
20480,5.0,252.1570296359714
20560,5.0,253.46142788603902
20640,5.0,254.76741549908184
20720,5.0,255.98303316906095
20800,5.0,258.15754472394474
20880,5.0,259.6585048590787
20960,5.0,260.9587661731057
21040,5.0,262.40893534594215
21120,5.0,264.13120059808716
21200,5.0,265.3821052550338
21280,5.0,266.94844002695754
21360,5.0,268.25099402014166
21440,5.0,269.57242036191747
21520,5.0,270.8555430599954
21600,5.0,272.17493216204457
