episode,best_energy_in_episode,best_energy_so_far,num_new_graphs,wall_time_s
0,13.0,5.0,,8.16550797992386
1,14.0,5.0,,8.170286308042705
2,17.0,5.0,,8.172802827088162
3,15.0,5.0,,8.175176134100184
4,16.0,5.0,,8.176699079107493
5,17.0,5.0,,8.177993331104517
6,17.0,5.0,,8.179589085979387
7,10.0,5.0,,8.181550882058218
8,18.0,5.0,,8.183828467037529
9,17.0,5.0,,8.185785640962422
10,17.0,5.0,,8.187813421944156
11,23.0,5.0,,8.19003243604675
12,17.0,5.0,,8.19197710393928
13,20.0,5.0,,8.194155055098236
14,17.0,5.0,,8.196562486002222
15,7.0,5.0,,8.198742455104366
16,9.0,5.0,,8.200911282096058
17,11.0,5.0,,8.203548880061135
18,17.0,5.0,,8.205860652960837
19,17.0,5.0,,8.207684629131109
20,14.0,5.0,,8.209362503141165
21,14.0,5.0,,8.211417027981952
22,9.0,5.0,,8.21371085010469
23,14.0,5.0,,8.215875922935084
24,5.0,5.0,,8.218191721942276
25,17.0,5.0,,8.221345528960228
26,16.0,5.0,,8.224229319021106
27,17.0,5.0,,8.227262139087543
28,18.0,5.0,,8.230201811995357
29,19.0,5.0,,8.2329859319143
30,10.0,5.0,,8.235644107917324
31,25.0,5.0,,8.238376206951216
32,16.0,5.0,,8.240841367980465
33,27.0,5.0,,8.243587549077347
34,20.0,5.0,,8.245815593050793
35,5.0,5.0,,8.248286961112171
36,7.0,5.0,,8.251068762969226
37,17.0,5.0,,8.254081327933818
38,12.0,5.0,,8.256917858030647
39,17.0,5.0,,8.260276458924636
40,18.0,5.0,,8.263515840983018
41,18.0,5.0,,8.266326491022483
42,18.0,5.0,,8.268800331046805
43,18.0,5.0,,8.271516198059544
44,25.0,5.0,,8.274331456050277
45,16.0,5.0,,8.27696216898039
46,14.0,5.0,,8.279860547976568
47,10.0,5.0,,8.28303023497574
48,22.0,5.0,,8.285786211956292
49,10.0,5.0,,8.288954118965194
50,14.0,5.0,,8.291774020995945
51,24.0,5.0,,8.294283913914114
52,24.0,5.0,,8.296718568075448
53,22.0,5.0,,8.299747239099815
54,23.0,5.0,,8.30249241204001
55,24.0,5.0,,8.304841523990035
56,17.0,5.0,,8.306724949041381
57,14.0,5.0,,8.309323129011318
