hash,energy,size
e2abaaa965caf0a16f5d9fa4580c2b85,24.0,30
5047ac9b581698095228d0e509535c1f,14.0,20
7472887ae0061ad59ff338d0899002be,27.0,33
42efdada0120ac3e9db0c10ca8adb7a6,17.0,23
3de28235d4c883f0ca4ccdff776cebf2,21.0,27
ea692508ff4eef972b1c8b2c8875ec8f,23.0,29
33426c0021e9e2dc86558f04c3c18c70,17.0,23
892eace1f78bc49b87b160d7b7b51075,23.0,29
577a227acd817892dc5e8de37c297f9c,22.0,28
2d4a2e1adc0734ae36ea229dde8c255b,17.0,23
e182e3604356c9d18a82320e49657bcf,15.0,21
a58f1752b79ab87c6494a24825ed4440,17.0,23
819697da7af9e9573a32e20abd26c8b3,27.0,33
986ed518f38fe32cbc087613213fb30e,26.0,30
7574efb432e2bb998d9519affa6ec348,10.0,16
4de6252be4432101b56abe0b29573436,17.0,23
be9d738c04909a58701b4b4d9bf9f12e,24.0,30
6ba41be6f5de2ce2fde94c5fe0f45f5d,10.0,16
52077ecb54adc7cd282a7885e6ae9b7c,23.0,29
a09016c24dc6e3c086d370ffaf166259,22.0,28
f3d5a361b57389ac8fa0900bb4e17497,23.0,29
ce813be9ba74499d29eeb8ce210ba973,22.0,28
79fb5b57127ee3e53e39b4c1fb7ac3d3,22.0,28
9f32ee1cdd43771526ab0dfb252170ab,23.0,29
a5e8c0e012de26b34d42246643f2a55d,23.0,29
2e3eba711bc1c67394fedd79f396b8b8,16.0,22
990332e4f1c1c4b91d73b67dfe8e7fe2,17.0,23
e2f0842ebbf5105a255c000149e4f1b5,22.0,28
7fcec549c2c7ee4e9418041803937c92,23.0,29
49c463bfb8652b8c2dc74e83985e1e61,24.0,30
3dd399886b4ac6beae3f2b6a3a487256,17.0,23
f14c9eaeec8cd8cf7d2d47b629464e3e,23.0,29
8017a1e03d5779d1876a766dd6af094b,17.0,23
0b004e7106bb7091a4d9c3e6ac4c4d06,24.0,30
8d60fe722b53b06ca4c7cad2495ed254,25.0,31
02d4b782a02a18efbf0aaab34aeca9d3,25.0,31
0083a3d1b08f969a505d76ace12bebf3,20.0,26
297099561f9784c5a90367dfdf35f163,8.0,12
fbf9c1354bd11b7febdd5a91a2c2fb25,20.0,26
c22024b8fe373031e4e222fb17355f45,20.0,26
c28589f8acf03a06fb003a723db7aa04,23.0,29
9e636b4f388b2c6bb1080f657a7ebfd4,15.0,21
8a6b493b2898fdbedb5542d180b045ca,14.0,20
efbce8eb4103b2a5c8555820b9a4e436,17.0,23
