hex_id,finetune_best,scratch_best,delta_finetune_minus_scratch,result,finetune_chosen_run_dir,scratch_chosen_run_dir,finetune_steps_to_best,scratch_steps_to_best
0x0239,11.0,11.0,0.0,Tie,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/fine_tune/GAT_MLP_with_scalars/4000nn/initial_state_sampling_factor_0/4_inputs/50_000_steps/0x0239/seed_1,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/scratch_training/4in/0x0239/seed_1,240.0,1600.0
0x040B,8.0,8.0,0.0,Tie,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/fine_tune/GAT_MLP_with_scalars/4000nn/initial_state_sampling_factor_0/4_inputs/50_000_steps/0x040B/seed_1,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/scratch_training/4in/0x040B/seed_1,160.0,400.0
0x0575,5.0,5.0,0.0,Tie,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/fine_tune/GAT_MLP_with_scalars/4000nn/initial_state_sampling_factor_0/4_inputs/50_000_steps/0x0575/seed_1,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/scratch_training/4in/0x0575/seed_1,240.0,80.0
0x0643,11.0,11.0,0.0,Tie,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/fine_tune/GAT_MLP_with_scalars/4000nn/initial_state_sampling_factor_0/4_inputs/50_000_steps/0x0643/seed_1,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/scratch_training/4in/0x0643/seed_1,4640.0,26400.0
0x0760,9.0,9.0,0.0,Tie,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/fine_tune/GAT_MLP_with_scalars/4000nn/initial_state_sampling_factor_0/4_inputs/50_000_steps/0x0760/seed_1,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/scratch_training/4in/0x0760/seed_1,3520.0,15520.0
0x09AF,9.0,9.0,0.0,Tie,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/fine_tune/GAT_MLP_with_scalars/4000nn/initial_state_sampling_factor_0/4_inputs/50_000_steps/0x09AF/seed_1,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/scratch_training/4in/0x09AF/seed_1,400.0,22240.0
0x0F42,10.0,12.0,-2.0,Win,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/fine_tune/GAT_MLP_with_scalars/4000nn/initial_state_sampling_factor_0/4_inputs/50_000_steps/0x0F42/seed_1,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/scratch_training/4in/0x0F42/seed_1,16240.0,6560.0
0x1048,10.0,11.0,-1.0,Win,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/fine_tune/GAT_MLP_with_scalars/4000nn/initial_state_sampling_factor_0/4_inputs/50_000_steps/0x1048/seed_1,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/scratch_training/4in/0x1048/seed_1,3440.0,6240.0
0x10C9,12.0,13.0,-1.0,Win,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/fine_tune/GAT_MLP_with_scalars/4000nn/initial_state_sampling_factor_0/4_inputs/50_000_steps/0x10C9/seed_1,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/scratch_training/4in/0x10C9/seed_1,1760.0,1040.0
0x1284,10.0,10.0,0.0,Tie,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/fine_tune/GAT_MLP_with_scalars/4000nn/initial_state_sampling_factor_0/4_inputs/50_000_steps/0x1284/seed_1,/home/gridsan/spalacios/Designing complex biological circuits with deep neural networks/manuscript/scratch_training/4in/0x1284/seed_1,240.0,20560.0
