value_decimal,initial_num_gates,lowest_gates,delta_gates
500,12,10,2
501,7,6,1
502,16,13,3
503,12,12,0
504,15,12,3
505,13,9,4
506,9,9,0
507,10,7,3
508,9,9,0
509,10,7,3
510,12,11,1
511,8,6,2
512,7,7,0
513,10,9,1
515,7,7,0
516,13,9,4
517,9,8,1
518,11,8,3
519,8,7,1
520,9,8,1
521,14,11,3
522,5,5,0
523,10,8,2
524,8,7,1
525,10,8,2
526,7,6,1
527,5,5,0
528,13,9,4
529,9,8,1
530,9,8,1
531,8,7,1
532,19,12,7
533,15,11,4
534,14,11,3
535,10,9,1
536,18,11,7
537,13,10,3
538,15,10,5
539,9,8,1
540,13,13,0
541,13,11,2
542,13,11,2
543,8,6,2
544,9,8,1
545,14,11,3
546,5,5,0
547,10,8,2
548,17,11,6
549,12,10,2
550,13,9,4
551,10,8,2
552,13,11,2
553,18,13,5
554,8,8,0
555,11,11,0
556,11,10,1
557,14,11,3
558,12,9,3
559,8,8,0
560,10,7,3
561,10,8,2
562,7,6,1
563,5,5,0
564,14,12,2
565,13,11,2
566,13,11,2
567,8,7,1
568,13,10,3
569,14,13,1
570,12,9,3
571,8,8,0
572,13,11,2
573,14,11,3
574,12,11,1
575,10,7,3
576,11,11,0
577,14,12,2
578,14,8,6
579,10,9,1
580,14,8,6
581,10,9,1
582,12,7,5
583,8,8,0
584,14,11,3
585,15,13,2
586,8,7,1
587,14,10,4
588,8,7,1
589,14,10,4
590,8,6,2
591,7,6,1
592,14,8,6
593,10,9,1
594,12,7,5
595,8,8,0
596,11,9,2
597,7,7,0
598,11,9,2
599,10,7,3
