value_decimal,initial_num_gates,lowest_gates,delta_gates
36608,3,3,0
20224,4,4,0
22272,5,5,0
35840,5,5,0
32512,4,4,0
28672,4,4,0
1036,5,5,0
779,5,5,0
1911,3,3,0
41642,5,5,0
1423,4,4,0
51712,5,5,0
28927,4,4,0
59904,4,4,0
34984,5,5,0
3983,6,4,2
2047,5,5,0
16469,4,4,0
21504,7,5,2
3003,4,4,0
1087,5,5,0
21877,7,5,2
63624,4,4,0
28799,6,5,1
43008,6,4,2
29296,5,5,0
34959,6,4,2
32947,8,5,3
14344,10,5,5
53333,5,5,0
29696,6,5,1
32768,5,5,0
35535,5,5,0
54613,5,5,0
8971,6,5,1
9984,7,6,1
5461,5,5,0
47240,7,5,2
41196,5,5,0
35471,8,5,3
16170,5,5,0
955,7,7,0
30551,6,6,0
29218,8,5,3
12405,7,5,2
20567,7,6,1
7487,6,6,0
10912,9,6,3
32853,5,5,0
32576,6,5,1
16463,9,6,3
43632,8,6,2
18191,8,5,3
49264,9,6,3
57890,7,6,1
12785,8,5,3
3247,8,5,3
2955,6,7,-1
9637,6,6,0
2562,6,6,0
16399,6,6,0
19534,6,6,0
53504,6,6,0
2764,8,7,1
61648,6,6,0
30064,9,6,3
12595,6,6,0
13616,9,6,3
341,6,6,0
43776,6,6,0
13600,9,6,3
11019,10,6,4
29523,8,7,1
8192,6,6,0
47891,6,6,0
36746,7,6,1
65288,7,5,2
47792,8,6,2
36362,8,6,2
9732,11,6,5
63360,7,8,-1
13617,6,6,0
44172,6,7,-1
15034,6,6,0
4592,9,6,3
34928,9,6,3
44808,9,6,3
5951,8,6,2
50240,9,6,3
22528,7,6,1
92,7,6,1
10764,9,6,3
50624,8,6,2
33587,6,6,0
42791,7,6,1
7517,7,7,0
32780,7,6,1
4447,8,6,2
32991,7,6,1
14335,7,5,2
32810,8,6,2
4344,8,6,2
5495,8,8,0
19677,8,6,2
3871,8,6,2
45553,8,6,2
45557,7,6,1
4155,7,6,1
56591,7,7,0
30079,6,6,0
25760,6,6,0
22352,8,6,2
3952,9,6,3
2284,7,6,1
53584,7,6,1
53299,10,6,4
273,6,6,0
1638,7,6,1
32996,11,6,5
45308,7,7,0
15088,7,6,1
36643,7,6,1
20700,6,6,0
16298,7,6,1
20522,11,6,5
56784,6,6,0
1826,8,6,2
3336,6,6,0
4319,9,6,3
50252,8,6,2
3340,6,6,0
47888,7,6,1
1024,7,7,0
16187,7,7,0
56332,7,7,0
28727,8,7,1
16592,9,7,2
61556,7,6,1
20855,9,7,2
25852,10,8,2
12689,10,7,3
7984,8,8,0
50790,8,6,2
14396,7,7,0
41519,8,6,2
36749,7,7,0
37333,8,7,1
34176,10,7,3
30020,7,7,0
53496,8,8,0
1408,13,7,6
10151,8,8,0
30832,8,7,1
41548,9,7,2
57175,7,6,1
7940,9,7,2
24347,7,7,0
15436,10,7,3
52430,8,8,0
1476,9,7,2
55344,14,7,7
37727,7,6,1
30485,8,7,1
5599,9,8,1
9504,11,7,4
25314,8,7,1
16432,8,7,1
9228,9,7,2
33331,10,7,3
18636,8,7,1
594,12,7,5
62288,7,6,1
43939,9,7,2
58096,8,7,1
59392,9,7,2
28979,12,8,4
853,10,7,3
12530,9,9,0
49173,10,7,3
8012,8,8,0
1839,10,7,3
32672,7,7,0
43048,10,8,2
50653,8,7,1
1231,11,7,4
45075,14,7,7
23839,10,7,3
19717,9,7,2
51714,10,7,3
1811,8,7,1
32775,9,7,2
18568,8,7,1
18442,11,7,4
41393,9,7,2
2995,7,7,0
1927,7,7,0
672,10,7,3
43912,9,7,2
17934,14,7,7
3488,12,7,5
14384,7,7,0
49380,10,7,3
8961,7,7,0
1392,12,7,5
2319,9,7,2
6674,10,7,3
42277,7,7,0
17671,7,7,0
62224,10,7,3
43728,9,7,2
41024,9,7,2
597,7,7,0
24780,10,7,3
20983,9,9,0
23323,7,7,0
2911,9,8,1
19020,7,7,0
58560,8,8,0
23760,10,7,3
44963,8,7,1
61120,7,7,0
49331,11,8,3
45919,7,7,0
4308,10,7,3
33543,13,7,6
20739,8,7,1
17668,10,7,3
43983,10,7,3
15153,8,7,1
1284,8,6,2
36000,10,8,2
47308,8,8,0
20632,9,7,2
39296,9,7,2
23539,9,7,2
49603,8,7,1
41168,10,7,3
45887,10,7,3
36558,9,7,2
16490,10,8,2
62416,7,7,0
2457,7,7,0
31234,13,7,6
27328,7,7,0
12496,9,7,2
10766,8,7,1
29306,10,8,2
17247,11,7,4
47893,10,7,3
64597,8,7,1
26116,12,7,5
11183,8,7,1
51384,11,7,4
61664,7,7,0
58789,7,7,0
62967,8,6,2
48140,9,8,1
41123,9,7,2
12978,8,8,0
10240,8,7,1
49157,11,7,4
4357,8,7,1
17715,11,7,4
34975,14,7,7
45299,9,8,1
54033,10,8,2
28794,8,10,-2
32927,11,7,4
60544,7,7,0
6666,8,7,1
2321,8,7,1
26118,8,7,1
5533,9,8,1
1136,10,7,3
52531,9,7,2
13061,10,7,3
36100,11,7,4
51340,9,7,2
51651,9,7,2
32581,8,7,1
30643,10,7,3
42188,10,8,2
51360,11,7,4
16324,10,7,3
26436,10,7,3
45858,10,7,3
32571,7,7,0
2315,10,7,3
42247,11,7,4
63648,9,7,2
56607,11,7,4
1802,10,7,3
1281,7,7,0
15159,10,7,3
44429,8,8,0
12450,12,7,5
15280,7,7,0
19628,10,7,3
2702,9,7,2
32931,9,7,2
19395,7,7,0
41180,10,7,3
6946,13,7,6
11178,10,7,3
5060,12,7,5
56816,8,7,1
18687,9,7,2
14592,9,7,2
54239,9,6,3
7615,11,8,3
22487,11,8,3
9248,13,8,5
4215,10,7,3
27696,9,7,2
915,9,7,2
17454,10,8,2
22399,10,8,2
49856,9,8,1
54661,9,8,1
524,8,7,1
21283,11,8,3
20953,10,9,1
28792,9,8,1
47879,11,8,3
