value_decimal,initial_num_gates,lowest_gates,delta_gates
779,5,5,0
4,8,8,0
341,6,6,0
273,6,6,0
23,9,9,0
524,8,7,1
92,7,6,1
61,10,8,2
597,7,7,0
96,9,8,1
24,13,9,4
6,10,9,1
853,10,7,3
672,10,7,3
594,12,7,5
955,7,5,2
1,9,9,0
62,11,9,2
9,10,9,1
976,13,8,5
26,9,8,1
25,9,8,1
45,10,8,2
659,11,8,3
905,10,8,2
30,11,9,2
915,9,7,2
22,14,12,2
41,14,11,3
104,14,10,4
111,9,8,1
106,9,8,1
234,5,5,0
126,13,9,4
171,7,7,0
188,11,8,3
129,11,10,1
173,11,8,3
152,10,8,2
189,13,8,5
137,11,9,2
232,10,8,2
190,10,9,1
134,14,12,2
107,14,10,4
239,7,7,0
151,14,10,4
235,10,8,2
154,10,9,1
105,17,11,6
169,11,10,1
158,14,10,4
254,8,8,0
233,14,11,3
150,17,10,7
295,10,9,1
301,13,11,2
367,8,8,0
319,11,8,3
302,13,11,2
392,14,9,5
279,12,12,0
287,9,9,0
393,12,8,4
280,17,12,5
282,12,11,1
368,12,9,3
411,13,10,3
394,10,9,1
384,11,10,1
317,13,10,3
383,11,11,0
377,13,13,0
386,14,12,2
415,12,12,0
286,15,14,1
382,17,14,3
300,13,13,0
278,18,13,5
390,15,13,2
424,11,9,2
361,13,11,2
406,16,13,3
407,15,13,2
420,14,13,1
426,9,8,1
414,16,15,1
445,13,12,1
428,15,12,3
429,12,10,2
447,12,12,0
494,9,9,0
491,13,13,0
495,10,7,3
559,8,8,0
425,9,12,-3
510,12,11,1
490,15,14,1
489,15,11,4
576,11,11,0
579,10,9,1
446,15,13,2
548,17,11,6
556,11,10,1
555,11,11,0
552,13,10,3
603,12,9,3
577,14,12,2
596,11,9,2
604,13,11,2
598,11,9,2
553,18,13,5
574,12,11,1
622,13,8,5
584,14,11,3
600,14,12,2
585,15,13,2
623,12,12,0
557,14,11,3
616,15,14,1
606,12,11,1
671,8,8,0
653,11,9,2
637,13,13,0
619,15,15,0
645,11,11,0
621,16,15,1
667,13,10,3
680,10,8,2
666,13,12,1
712,11,9,2
702,9,9,0
709,13,10,3
662,13,11,2
715,14,11,3
733,8,8,0
684,14,12,2
661,15,12,3
734,13,13,0
725,13,12,1
764,8,8,0
728,15,10,5
732,15,16,-1
765,11,10,1
743,13,10,3
855,8,8,0
859,11,11,0
681,15,11,4
745,16,13,3
893,11,11,0
892,12,11,1
857,12,11,1
898,11,9,2
897,10,8,2
901,11,9,2
923,11,9,2
829,13,13,0
951,11,12,-1
877,16,16,0
874,16,14,2
940,13,10,3
894,16,14,2
910,13,10,3
968,12,8,4
970,12,9,3
962,13,11,2
956,13,12,1
862,14,14,0
922,13,12,1
830,14,14,0
977,11,8,3
937,11,10,1
854,12,11,1
917,16,13,3
958,12,12,0
980,13,10,3
974,12,9,3
983,9,9,0
957,16,13,3
987,12,11,1
985,13,10,3
984,16,12,4
986,14,11,3
988,12,12,0
990,13,12,1
